lambani_sentence|number
ಸೆ ಮಾಂದ ಮಾಣಸೇರ ಬಗ್ಗೆ ಕನ್ನೆರ್ ಪೊಲೀಸ್ ಸ್ಟೇಷನೇಮ ರಿಪೋರ್ಟ್  ಕರನು  ಕೇನ ಕೆ.|9856
ದಾಡ್ಡಿ ಹಾಜರಾತಿ ದೇಣು.|9857
ಕೇರ್ ಕನ್ನ ನಿಜಾಮ ಸರಕಾರ ದಿನೆ ಜೋಣ ಪಾಸ್ ವೇತ್ತೋ ಕೋನಿ.|9858
ತು ಮಟ್ಟಿನ ಕನ್ನಾ ಆಯೆಚಿ ?|986
ವೂ ಪಾಸ್ ವೊರ್ ಜೋಡಿ ಲೇನ್ ಜಾಣು.|9860
ಅಗರ ಏಕಾದ್ ಅಧಿಕಾರಿ ಥಾಮೇ ಕತೋ ವು ಪಾಸ್ ದಕಾಳನು.|9861
ಈ ಹೇಟೆರ ನಿಜಾಮ ಸರಕಾರೇರ ಏಕ್ ಪಾಸ್ ಚ.|9864
ವೂನುನ ಪೊಲೀಸ್ ಅನ ಲೋಗ್ ಭೀ ಘಣ ಸತಾಯೆ ಅನ ವೂನೂರ್ ಜೋಡಿ ಠೀಕ ವ್ಯವಹಾರ ಕರತೇತೆ ಕೋನಿ.|9865
ಕತಿಕ ಚೋರಿ, ಡಕಾಯತಿ ನಿತರ ಮರ್ಡರ್ ವಿಕತೋ.|9866
ಸೇಜ ಮಾಣಸೇನ ಬಗರ್ ಸಮಜೆರ ಅನ ವೂನೂರ್ ಅಲಿಬಿ ದಕಾಳೆನ್ ಬಗರ್ ಮೌಕಾ ದೇರ್ ಪಿಟೇ.|9867
ಪೊಲೀಸ್ ದೂಸರ್ ವಡಿ ಜಾಂಚ ಕರ್ರೆತೆ.|9868
ತು ಘರೇನ ಕನ್ನಾ ಜಾಯೆಚಿ ?|987
ವೊ ವೂನುಮ ಜಾಸ್ತ್ ಮಾಣಸ್ ನಿಷ್ಠಾವಂತ ವೆತ್ತೆ ಕೇನ ಕಚ.|9870
ವೊ ಕನ್ನಾಯಿ ಚೋರಿ ಯಾ ಡಾಕಾ ಘಾಲೇ ಕೊಂತಿ.|9871
ಏಕ್ ಏಕ್ ದುಸ್ಕರ್ಮಿನೂರ ಹೊಲಸ್ ಕಾಮೇತಿ ವೂನೂರ್ ಅಸ ನಾಮ ಪಡಮಲೋಚ.|9872
ವೂನೂರ್ ಯೇತಿ ಕಾಂಯಿ ಸಂಬಂಧ ಛೆನಿ ತೋಬಿ.|9874
ದಸೆಕ್ ಡಾವ್  ಮಾಣಸ ಲಾರ್ ವೂನುಮ ಘಣ ಅಪರಾಧ ವೇಮಲೇಚ ಕೇನ ಸ್ವೀಕಾರ್ ಕರಚ.|9875
ಡಾಕಾ ಘಾಲೇರೋ, ಮರ್ಡರ್ ನಿತರ್ ಚೋರಿ ಕರೆರೋ ಯಾ ಘರ ಫೋಡೆರೋ ಕರೇನ ವೊ ಗುಂಪೇಮ  ಜಾತೇತೆ.|9877
ಗುಂಪೇರ ಆಕಾರ ಕಾಮೇರ ಗಾತ್ರ ಅನ ವಿಧಾನ ಕು ರ ಜು  ರಚ.|9878
ಯೇತಿ ಪೊಲೀಸ್ ಅನ ಲೊಕುಮ ಶಕ ಪೈದಾ ವೆತೋತೋ.|9879
ಕಾ ಕತೋ ಏ ಕಾಮ್ ರಾತ ಕರತೆತೆ.|9880
ಗುಂಪೆರ್ ಲೋಗ  ವೊ ಡಾಕಾ ಘಾಲಾ ಕೆರೆ ಜೆ ಜಾಗಾ ಪರ ಕನ್ನಾಯಿಬಿ ಏಕ್ ಸಾತ ಜಾತೇತೆ ಕೋನಿ.|9881
ಪಣ ಹರ್ ಏಕ್ ಮಾಣಸ್ ವೊ ಜಾಗಾ ಪರ್ ಠೀಕ್ ಸಮಯ್ ಪರ್ ದೂಸರ್ ದೂಸರ್ ವಾಟೆನ್ ಜಾತೇತೆ.|9882
ಗುಂಪೇಮ ಏಕ್ ಡಾವ, ಅನುಭವಿ ಅನ ಸಕ್ತ ಮಾಣಸ್ ವೇತ್ತೋ.|9883
ಗುಂಪೇರ ಸದಸ್ಯ ವೇನ ಡಾಕಾ ಘಾಲೇರೋ,ಡಾಕಾ ಅನ ಘರ ಪೋಡೆಮ ಅನುಭವ  ರೇಣು.|9884
ಡಾಕಾ ಘಾಲನಾಕ  ಜೆರ್ ಪಚ ಗುಂಪೆರ  ಹರ್ ಏಕ ಮಾಣಸೇನ  ಲೂಟಿ  ವೆಟಾ  ಪಾಡತೇತೆ.|9885
ಏ ಗುಂಪ ಸ್ಥಿರ ಸಂಘಟನೆ ವೇತ್ತಿ ಕೋನಿ.|9886
ವೂನೂರ್ ಕಾಮ ಕರೆವಾಳ್ ಸಮಯ್ ಸಮಯ್ ಪರ್ ಪರಿಸ್ಥಿತಿ ರ ಜು ಬದಲತೆ ರೇ.|9887
ಸರಕಾರ ಅನ ದೂಸರ್ ಸಾಮಾಜಿಕ ಸಂಘಟೆನೆರ ಉಪಾಯ ರ ಕಾರಣೇತಿ.|9888
ಪೊಲೀಸ್ ನೋ ಭೀ ವೂನುನ್ ಅಪರಾಧಿ ಕಾಮೇತಿ ದೂರ್ ಕರೆನ್ ಕಾಮ್ ಕರ್ರೆಚ.|9889
ಮಹಬೂಬ್ ನಗರೇರ ಪೊಲೀಸ್ ವರಿಷ್ಠಾಧಿಕಾರಿ ಕೆಮಲೋಚ.|9890
ಏರ್ ವಾಸ ವು ಯೋಗ್ಯತೆ ಸಂಬಂಧಿ ನಿಯಮೇಮ ಢಿಲ್ ದಿನೋತೊ.|9891
ಪರಿಣಾಮ ಉತ್ಸಾಹಜನಕ ವೇತ್ತೋ ಕೇನ ವೊನ ಮಹಸೂಸ್ ವಿ.|9892
ವೋರ ಪ್ರಕಾರ ಸ್ಥಿತಿ ಕತ್ರಾಕೋ ಸುಧಾರ್ ವೇಮಲಿ ತೊ ಬಿ.|9893
ದಸೆಕ್ ಹತ್ಯಾ ರ ಕೇಸ್ ಭೀ ವೆತ್ತೆ.|9895
ಏಕ್ ಬಾಯಿ ವೋರ  ಮಾ-ಬಾಪೇರ ಘರೇನ್ ಕನ್ನಾಯೀ ಜಾತಿತಿ ಕೋನಿ.|9898
ವೊ ವ್ಯಾಪಾರ ಅನ ದೂಸರ್ ಕಾಮೇರ ವಾಸ ಏಕ್ ಜಾಗೇತಿ ದೂಸರ್ ಜಾಗೇನ ಜಾತೇತೆ.|9899
ತು ಕನ್ನಾ ಗಿದಗಾಯೇನ ಪಸಂದ್ ಕರೆಚಿ ?|990
ಏಕ್ ಛೋರೀರ ವಾಯಾ ವೇಗೋ ಕತೋ ವೊನ ಮಾ-ಬಾಪೇತಿ ಗಮಾಗಿ ಕೇನ ಸಮಜತೆತೆ.|9900
ಕಾ ಕತೋ ವೊ ಘಣ ಕಮ್ ಭಳತೆತೆ.|9901
ವೊ ಬರೆ ದಸೆಕ್ ಸಮಯ ರ ಲಗಾ ಭಳೆ.|9902
ಕಾ ಕತೋ ಈ ವೋರ ಧಣಿ ಅನ ವೊನ ಏಕ್ ಪ್ರತಿಷ್ಠೆ ರ   ಪ್ರಶ್ನೆ ವೇತ್ತಿ.|9905
ವೋರ ಪೆಹಲೆರ ಅಂಕ ವೋರ ಸಾಸು ಸಸರೆರ ಘರೇಮ ಪೈದಾ ನ ವೇಣು.|9906
ಈ ವೇ ಕತೋ ವೊನ ಅನ ವೋರ ಗೋಣ್ಣಿನ ಘಣ ಮತಲಬಿ ಸಮ್ಜಚ.|9907
ವೊನ ವೋರ ಸಮುದಾಯರ ಮಾಣಸ ಚಿಡಾವಚ.|9908
ಪಣ ಅಬ್ಬೇರ ಅಧ್ಯಯನ ರ ಸಮಯ ಪರ, ಈ ಪರಿವರ್ತನ ಜಡೆತಿಚ ಕೇನ ಅನಸಾಯೆನಿ.|9909
ತು ಕನ್ನಾ ಸೊಯೆಚಿ ?|991
ತೊ ಬಿ ಛೋರೀರ ಮಾ-ಬಾಪ ಆಂಗೇರ ಸಲಾ ಆಸಾತಿ ವಜನಾ ಭೀ ವೂನೂರ ಜಾಗಾಪರ ರೇಣು ಕೇನ ಬಯಸಚ.|9910
ವೂನೂರ್ ಜಮಾಯಿ  ವೂನೂರ್ ಕೋರಿಕೆನ ಸಹಮತ ದಿನೊತೊ ಅತ್ರಾಜ್.|9911
ಅಗರ್  ವೊನ ಡೆಲಿವರಿ  ಘಣ  ವಾಳೆರ್  ಪಚ್  ವಚ ಕೇನ ಮಾಲಮ್  ವಿ  ಕತೋ.|9913
ಸಂಬಂಧಿತ ಪರಿವಾರ ತೀನ್ ದಾಡೆರ್ ಲಗಾ ಜನ್ಮ ಪ್ರದೂಷಣ ದೇಕಚ.|9919
ವೊನ ಪಂದ್ರಹ್ ದಾಡೆರ್ ಲಗಾ ಅಡಗಿರ ಭಾಂಡೆ ಸಾಮಾನ್ ಛಿಪೇದೆನಿ.|9921
ಘರೇರ್ ಮುಲ್ಲಿಮ್ ಖಾಡ್ ಖೋದನ್ ಪಾಣಿ ಭರಚ.|9926
ನವಜಾತ ಶಿಶುರ ಮಾ, ವೊರ್ ಹಾತೆಮ ಸಾತ ಪ್ರಕಾರೇರ ಚಣಾ ಯಾ ಏಕ್ ಕೋಸಾ ಪರ  ಭಾಂದ ಮಲಚ.|9927
ವೊರ್ ಕಡೆಮ  ಖಸೊಡಮಲಜೋಣ  ಅನಾಜ್  ವಾಟೆಪರ್ ಪಡತೊ ಜಾವಚ.|9928
ಏರ್ ಅರ್ಥ ರೋತೇ ಖಾಡೆಮ ಜಾಯೆರೋ ಅನ ಹಾಸತೇ ಖಾಡೆತಿ ಭಾರ ಜಾಯೆರೋ ಚ.|9930
ಬಾಯಿ ಖಾಡೆಮ ಜಾವ ಜೆರ್ ಪಚ್ ವೊನ ಮಿಟೊ  ಪಾಣಿ ದಚ.|9931
ವೊನ ವತ್ ಗೋಳಾ ವೇಮಲ ಜೆ ಛಿಜ್ಯಾಪರೇನ  ದಚ.|9933
ಪಾಂಚ್ ಮೀನಾರ್ ಲಾರ್ ವೊ ಸಮಾರೋಹ ಅನ ದೇವೇಪರ್ ಘಣ ಪೀಸಾ ಖರಚ ಮಲೆತೆ.|9937
ಡೆಲಿವರಿ ಕರಾಯ ವಾಳ ಬಿ ಭಾಗ ಲಿದಿ.|9938
ತು ರಾಂಚಿನ ಕನ್ನಾ ಜಾಯೆಚಿ ?|994
ಡೆಲಿವರಿ ಝುಪಡಿರ ಕನ್ನ ಛ ಜೆ ಜಾನ್ವರೆರ್ ದೊಡ್ಡಿಮ ವೇಮಲಿಚ.|9943
ತೀನ್ ನೇ ದಾಡ್ ಪರ್ಬಾತಿ ವೂನೂರ್ ಪೂರ್ವಜೆರ್ ನಾಮೇಪರ ದಸ್ ನಾರಳ್ ಫೋಡೆ.|9944
ದಸೆಕ್ ಪ್ರದೂಷನ್ ಭೀ ದೇಕೆನಿ.|9947
ಘರೇರ್ ಕಾಮ್ ಕರೆನ್ ಘರೆಮ್ ಕೊಯಿ ವೆತ್ತೆ ಕೋನಿ.|9948
ವು ಮುಷ್ಕಿಲೇತಿ  ಪಾಂಚ್ ದಾಡ್ ಅರಾಮ್ ಕಿದಿ.|9949
ತಮ ಬಿಜಾ ಕನ್ನಾ ಪೆರೋಚೊ ?|995
ವುನುಮ್   ದೂಸರ್ ಜಾತಿ ವಾಳೆರ್ ರೀತಿ ರಿವಾಜ್ ಅಪನಾಯೆರ್ ಪ್ರವೃತ್ತಿ ವೇತ್ತಿ.|9950
ಈ ನವ ಪದ್ಧತಿ ಸಮುದಾಯರ  ಸಾಲಿ ಸಿಕಮಲೇಜೇ ಮಾಣಸೇನುತಿ   ಚಾಲು ವಿ.|9951
ವೊ ಮೋಟ್ ಜಾತಿವಾಳೆರ್ ಅನುಕರಣೆ ಕರನ ಸಮಾಜೇಮ್ ಆಂಗ್ ಆಯೆರ್ ಕೊಶಿಸ್ ಕರ್ರೆತೆ.|9952
ವು ವೊನ್ ವೊರ್ ಬೇಟಿನ ವೊರ್ ಜೋಡಿ ಡೆಲಿವರಿರ ವಾಸ್ ಮೇಲ ಕೇನ ಮನವಿ ಕಿದೋ.|9953
ಜಮಾಯಿ ಜಲ್ದಿಜ ಏ ಮನವಿನ ವೊಪ್ಪಲಿದೋ.|9954
ವೊರ್ ಮಾ-ಬಾಪೇರ್ ಘರೆಮ್ ವೊನ  ಜಾನವರೇರ್ ದೊಡ್ಡಿಮ ಯಾ ದೂಸರ್ ಝುಪಡಿಮ ರಕಾಡೇನಿ.|9955
ಪಣ ವು ಘರೇರ್ ಏಕ್ ಮುಲ್ಲಿಮ್ ಕೈದ್ ವೇತ್ತಿ.|9956
ವು ಹೊಕ್ಕಳ್ ಬಳ್ಳಿನ ಚಾಕುತಿ ಕಾಟಿ.|9958
ತಮ ಕತ್ ರೆನ ಜಾರೆಚೊ ?|996
ಡೆಲಿವರಿ ಕರಾವ್ ಜೆನ ವೋರ ಸೇವಾರ ಪೀಸಾ ಮಳತೇತೆ.|9960
ವು ಬಲಾಮಲ ಜೆನ ದಾರು ಘಾಲೊ ಕೋನಿ.|9964
ವು ದೂಸರ್ ಕುಣಸಿ ವಿಧಿ ಕಿದೋ  ಕೋನಿ.|9965
ಏ ಜನ್ಮೇರ ಸಂಬಂಧ ವೊರ್ ಖರ್ಚ ಜಾಸ್ತ್ ವೇತ್ತೋ ಕೋನಿ.|9966
ಜಣ ನಾಕ ಜೆರ ಪಚ ಬಾಯಿನ ಏಕ್ ಮೀನಾರ್ ಲಗಾ ಮರ್ಚ್ಯಾ ಖಾಯೆನ್ ದೇನಿ.|9967
ವೊನ ಜಾಸ್ತ್ ಮಸಾಲೆ ವಾಳ್ ಖಾಣೊ, ಬೋಟಿ ಅನ ಧಯಿನೋ ಖಾಯೆನ್ ದೇನಿ.|9968
ರಾಮೇನ ಸೀತಾರ ಆಭೂಷಣ ಕತ್ ಮಳೆ ?|997
ಗಾವಡಿ ನೀತರ್ ಭೇಸಿರ ದೂಧ್ ಪಿಯೆರೋ ಪಾಪ ಚ.|9972
ವೂನೂರ್ ಪ್ರಕಾರ್ ಪಾಪಾ ಮಜಬೂತ ರಚ.|9973
ಪಾಪು ಚಾವಳ್ ಅನ ಚಾವಳೆರ್ ದಳಿಯಾ ಖಾಯೆವಾಳೋ ವೇಲಗಾ.|9975
ಮಾ ಪಾಪುನ ಛಾತಿರ ದೂಧ್ ಪರಾಯೆರ್   ಛೋಡಾಯೆನ್   ಚಾವತೋ.|9979
ತೋನ ವೊಲ್ಡಿ ಕತ್ ಮಳಿ ?|998
ದೂಧ್ ಕುಡಿ ಲಾಗಜೇತಿ ಪಾಪು ದೂಧ್ ಪಿಯೆನ್ ಪಸಂದ್ ಕರೆನಿ.|9981
ಅಗರ್ ವೊ ಈ ಖತರ್ನಾಕ ಕಾಮ್ ಕರಾ ಕೇನ ಕೆ ಕತೋ ,ವೊ ಜೆ ಮಾಣಸೇನ ಪೆಹಲೆ ದೇಕಚ ವೊನ ಗುಪ್ತ ರೂಪೇತಿ  ಲೇಜಾವಚ ಕೇನ ಕಚ.|9985
ವೊ ಗಾಟೇನ ವೋರ ಮಾತೆಪರ ಮೇಲಚ.|9988
ಈ ಯೇಜಾವ ಜೆರ್ ಪಚ ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೇ ಹಾತ್ ಭೆಳಚ.|9989
ತೋನ ಏ ಪಕ್ಷಿವೊ ಕತ್ ದಿಕಾಯಿ ?|999
ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೇ ನಾಚತೆ ಏಕ್ ವೃತ್ತ ಕರಚ.|9991
ವು ಖುಟೇಲಗಾ ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೇ ಜೋರೇತಿ ಗೀದಗಾವಚ.|9992
ಕಾಮೇರ ದಾಡೆಮ ವೂನುನ ಫುರ್ಸತ್ ರೇನಿ.|9993
ದಿಂಯೆರ ಕಾಮ ಖುಟಾಡನಾಕ ಜೇರ ಪಚ ಸಾಂಜೆರ ಸಮಯ್ ಛೋಡನ ವೂನೂರ್ ಕನ್ನ ಕಾಂಯಿ ಅವಕಾಶ ರೇನಿ.|9994
ವೊ ಕಾಮೇತಿ ಆತೆ ಸಾತ್ ಮುಂಡೋ ಧೋವಚ.|9995
ಡಾವ್ ನೊ ಬೀಡಿ ಪಿವ ಜೇತಿ ವೂನುನ ತೃಪ್ತಿ ಮಳಚ ಕೇನ ಕಚ.|9998
