kannada_source|lambani_target|lambani_predicted
ಹುಡುಗನಿಗೆ ಏನಾದರೂ ಬೇಕು .|ಛೋರಾನ ಕಾ೦ಯೀತೊಯೀ ಚಾಯೆ .|ಛೋರಾನ ಕಾಂಯಿ ತೊಯೀ ಚಾವಚ .
ನಾವೆಲ್ಲರೂ ಒಂದಾಗೋಣ .|ಅಪಣಸೆ ಏಕ್ ವೇಮಾ .|ಅಪಣ ಸೆ ಏಕ್ ಜಾಮಾ .
ಆದರೆ ಅವನು ತುಂಬಾ ಸಿಹಿ .|ಪಣ ಉ ಘಣ ಮಿಟೋ ಛ .|ಪಣ ವು ಘಣ್ ಮಿಠಾಯಿ ಚ .
ಅವಳು ನನ್ನ ಚಿಕ್ಕಮ್ಮ .|ಉ ಮಾರ್ ಮಾಶಿ ಛ .|ವು ಮಾರ್ ಯಾಡಿ ಚ .
ಯಶಸ್ಸು ನಿಮ್ಮದೇ .|ಸಫಲತಾ ತಮಾರ್ ಚ .|ಯಶಸ್ ತಾರ್ ಚ .
ನಾನು ಅದನ್ನು ಕಂಡುಹಿಡಿಯಬೇಕು .|ಮ ವೊನ ಧುನ್ದಣು .|ಮನ್ ವು ಕಂಡನು .
ನನಗೆ ತುಂಬಾ ದುಃಖವಾಗಿದೆ .|ಮ ಘಣ ದುಃಖಿ ಚು .|ಮನ್ ಘಣ ದುಃಖ್ ವೇಗಿಚ್ .
ನಾನು ಇದನ್ನು ನೋಡಿದ್ದೇನೆ .|ಮ ಏನ್ ದಿಟಿಚು .|ಮ ಏನ್ ದೇಕಮಲೋಚು .
ನಾನು ಹೋಗಲಿದ್ದೇನೆ .|ಮ ಜಾಯೆವಾಳೋಚು .|ಮ ಜಾರೊಚು .
ಇದು ತುಂಬಾ ದೊಡ್ಡದು .|ಈ ಘಣ ಮೊಟಚ .|ಈ ಘಣ ಮೋಟೋ ಛ .
ಅದನ್ನು ಸರ್ಕಾರ ನಿರ್ಧರಿಸಬೇಕು .|ಓನ್ ಸರ್ಕಾರ್ ನಿರ್ಧಾರ್ ಕರಣು .|ಓನ್ ಸರ್ಕಾರ್ ನಿರ್ಧಾರ್ ಕರಣು .
ಅವರ ಆರೋಗ್ಯ ಸರಿಯಿಲ್ಲ .|ವನೂರ್ ಆರೋಗ್ಯ ಠೀಕ್ ಛೆನೀ .|ವೊರ್ ಆರೋಗ್ಯ ಠೀಕ್ ಛೆನಿ .
ನೀವು ಅಲ್ಲಿಗೆ ಹೋಗಲು ಸಾಧ್ಯವಿಲ್ಲ .|ತಮೆನ್ ವತ್ತ ಜಾಯೇನ್ ವೆನಿ .|ತಮ್ ವತ್ತ ಜಾಯೆನ್ ಸಾಧ್ಯ ಛೆನೀ .
ನಮಗೆ ಅನೇಕ ಅವಕಾಶಗಳಿವೆ .|ಹಮೆನ್ ಕತ್ರಾಕೋ ಅವಕಾಶ ಚ .|ಹಮೆನ್ ಘಣ ಅವಕಾಶ ಛ .
ಇದು ಯಾವಾಗಲೂ ಕೆಲಸ ಮಾಡುತ್ತದೆ .|ಈ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಕರಚ್ .|ಈ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಕರಚ .
ಇದನ್ನು ಎಲ್ಲರೂ ಪ್ರತಿಭಟಿಸಬೇಕು .|ಏನ್ ಸೆ ಪ್ರತಿಭಟನೆ ಕರಣು .|ಏನ್ ಸೆ ಪ್ರತಿಭಟನೆ ಕರಣು .
ಮೂರನೇ ವರ್ಗವಿಲ್ಲ .|ತಿನೇ ವರ್ಗ ಛೆನೀ .|ತೀನ್ ನೆ ವರ್ಗ ಛೆನೀ .
ಇನ್ನು ಕೆಲವರು ಮುಂದೆ ಹೋಗುತ್ತಾರೆ .|ಅಜಿ ದಸೆಕ್ ಆಂಗ್ ಜಾವಚ .|ಅಬ್ ದಸೆಕ್ ಆಂಗ್ ಜಾವಚ .
ನನಗೆ ನಿಖರವಾಗಿ ಗೊತ್ತಿಲ್ಲ .|ಮನ್ ಠೀಕ್ ಮಾಲಮ್ ಛೆನಿ .|ಮನ್ ಖರೆ ಮಾಲಮ್ ಛೆನಿ .
ನಾನು ಅದನ್ನು ಸಂತೋಷದಿಂದ ಮಾಡುತ್ತೇನೆ .|ಮ ಓನ್ ಖುಶೀತಿ ಕರುಚು .|ಮ ಖುಶೀತಿ ಓನ್ ಕರುಚು .
ನಾನು ವೈದ್ಯನಾಗಬಹುದೇ ?|ಮ ಡಾಕ್ಟರ್ ವು ಕಾ೦ಯೀ ?|ಮ ಡಾಕ್ಟರ್ ವೇಣು ಕ ?
ಆದರೆ ಮಾತು ಮಾತ್ರ ಇತ್ತು .|ಪಣ ಬರೆ ವಾತೆ ವೇತ್ತಿ .|ಪಣ ವಾತೇ ಅತ್ರಾಜ್ ವೇತ್ತಿ .
ನಮಗೆ ಎಷ್ಟು ಸಮಯವಿದೆ ?|ಹಮೆನ್ ಕತ್ರಾ ಟೈಮ್ ಛ .|ಅಪಣ ಕತ್ರಾ ಸಮಯ ಚ ?
ನಾನು ನಿನಗಾಗಿ ಮಾಡಿದ್ದೇನೆ .|ಮ ತಾರ್ ಸಾರು ಕಿದಿಚು .|ಮ ತಾರ ವಾಸ ಕಿದೋಚು .
ದಯವಿಟ್ಟು ಅವನನ್ನು ಕರೆಯುತ್ತೀರಾ .|ಕೃಪಯಾ ವೊನ ಬಲಾವೊಚೊ ?|ಕೃಪಯಾ ವೊನ ಬಲಾವೊಚೊ ?
ಆ ಕೆಲಸ ಸುಲಭವಾಗಿತ್ತು .|ಉ ಕಾಮ್ ಸರಳ ವೇತ್ತಿ .|ಉ ಕಾಮ್ ಸರಳ್ ವೇತ್ತಿ .
ನಾನು ಬೇಗ ಮದುವೆಯಾಗಬೇಕು .|ಮ ಜಲ್ದಿ ವಾಯಾ ಕರನು .|ಮ ಜಲ್ದಿ ವಾಯಾ ಕರನು .
ನಾನು ಚೆನ್ನಾಗಿ ಮಾತನಾಡುವುದಿಲ್ಲ .|ಮ ಠೀಕ್ ವಾತೆ ಕರುನಿ .|ಮ ಠೀಕ್ ವಾತೆ ಕರುನಿ .
ಅವರು ನಮಗೆ ಸುಳ್ಳು ಹೇಳಿದರು .|ವೊ ಹಮೇನ್ ಲಬಾಡಿ ಕೆ .|ವೊ ಹಮೆನ್ ಲಬಾಡಿ ಕೆ .
ಸೀತೆ ನನ್ನ ಮಗಳು .|ಸೀತಾ ಮಾರ್ ಬೇಟಿ ಚ .|ಸೀತಾ ಮಾರ್ ಬೇಟಿ ಚ .
ನೀವು ಏನು ಕುಡಿಯುತ್ತೀರಿ ?|ತು ಕಾಂಯಿ ಪಿಯೆಚಿ ?|ತು ಕಾಂಯಿ ಪಿರೋಚಿ ?
ಈ ಸಮಸ್ಯೆ ಸರಳವಾಗಿದೆ .|ಇ ಸಮಸ್ಯೆ ಸರಳ್ ಚ .|ಈ ಸಮಸ್ಯೆ ಸರಳ್ ಛ .
ಇದು ಎಲ್ಲರಿಗೂ ಕೆಲಸ ಮಾಡಬೇಕು .|ಈ ಸೇರಿ ಸಾರು ಕಾಮೆನ್ ಆಣು .|ಈ ಸೇರಿ ಸಾರು ಕಾಮ್ ಕರಣು .
ಅವರು ಅದರಲ್ಲಿ ಒಳ್ಳೆಯವರು .|ಓ ಓರ್ಮಾಯಿ ಘಣ ಆಚೆ ಛ .|ಓ ಓರ್ಮಾಯಿ ಆಚೊ ಛ .
ನೀನು ಬಹಳ ಶ್ರೀಮಂತ .|ತು ಘನ್ ಸಾವ್ಕಾರ್ ಛಿ .|ತು ಘಣ ಸಾವಕಾರ ಚಿ .
ಹಣ್ಣುಗಳು ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು .|ಫಳ ಜೀವೆನ್ ಘಣೋ ಆಚೋಚ .|ಫಳ್ ನೋ ಜೀವೆನ ಆಚೊ ರಚ .
ನನಗೆ ಪ್ರಯಾಣ ಇಷ್ಟವಿಲ್ಲ .|ಮನ್ ಯಾತ್ರಾ ಕರೆರ್ ಪಸಂದ್ ಛೆನಿ .|ಮನ್ ಯಾತ್ರಾ ಇಷ್ಟಾ ಛೆನೀ .
ನಿಮ್ಮ ಆರೋಗ್ಯ ಸುಧಾರಿಸುತ್ತದೆ .|ತಮಾರ್ ಆರೋಗ್ಯ ಸುಧಾರಣಿ ವಚ .|ತಮಾರ್ ಆರೋಗ್ಯ ಸುಧಾರ್ ವಚ .
ಆಹ್ವಾನವನ್ನು ಸ್ವೀಕರಿಸಲಾಯಿತು .|ಆಹವಾನ್ ಸ್ವೀಕಾರ್ ಕಿದೆಚ್ .|ತಮಾರ್ ಬಲಾಯೇ .
ಇದು ಪ್ರಮುಖ ಸಾಧನೆಗಳು .|ಇ ಏಕ್ ಪ್ರಮುಖ ಸಾಧನೆ ಚ .|ಈ ಏಕ್ ಪ್ರಮುಖ ಸಾಧನೆ ಛ .
ನಿನಗೆ ಅವಳು ಗೊತ್ತಾ ?|ತೋನ ವು ಛೋರಿ ಮಾಲಮ ಚ ಕ ?|ತೋನ ವು ಮಾಲಮ್ ಚ ಕ ?
ಚೀನಾ ದೊಡ್ಡ ದೇಶ .|ಚೀನಾ ಏಕ್ ಮೋಟೋ ದೇಶ ಚ .|ಚೀನಾ ಮೋಟೋ ದೇಶ್ ಛ .
ಹೊಸ ರಾಜನಿಲ್ಲ .|ರಾಜಾನ ಮ ಕ ಜಕೋಣ ಛೆನಿ .|ನವವೋ ರಾಜಿ ಕಾವ .
ನೀವು ಏನು ಕೇಳುತ್ತಿದ್ದೀರಿ ?|ತಮ್ ಕಾ೦ಯೀ ಪುಚ್ರೆಚೊ ?|ತು ಕಾಂಯಿ ಪುಚರೊಚಿ ?
ಇದು ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ .|ವು ಟೇಬಲೇರ್ ಹೆಟ್ ಚ .|ಈ ಟೇಬಲ್ ಹೆಟ್ ಛ .
ಹಲವಾರು ವ್ಯತ್ಯಾಸಗಳಿವೆ .|ಘಣ್ ವ್ಯತ್ಯಾಸ ಚ .|ಘಣ ವ್ಯತ್ಯಾಸ ಛ .
ಅದು ನಿಮ್ಮ ಹಾಗಿದೆ .|ಈ ತಮಾರ್ನಾಯಿಚ .|ವು ತಾರ ಹರಾಜ್ ಚ .
ನಾನು ಅವನನ್ನು ಹೆಚ್ಚು ಇಷ್ಟಪಡುವುದಿಲ್ಲ .|ಮ ಓನ್ ಜಾಸ್ತಿ ಇಷ್ಟಾ ಕರುನಿ .|ಮನ್ ವು ಘಣ್ ಪಸಂದ್ ಛೆನಿ .
ಅವಳ ಹೆಸರೇನು ?|ಓರ್ ನಾಮ್ ಕಾ೦ಯೀಚ ?|ಓರ್ ನಾಮ್ ಕಾ೦ಯೀ ಛ ?
ನಾನು ಅವನನ್ನು ನೋಡಲು ಬಯಸುತ್ತೇನೆ .|ಮನ್ ವೊನ್ ದೇಕಣು ಅನಸಾರಿಚ .|ಮ ಓನ್ ದೆಕನು ಕರನ್ ಬಯಸುಚು .
ಇದನ್ನು ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಏನ್ ನಂಬೆನ್ ಸಾಧ್ಯ ಚೇಯಿ .|ಏನ್ ನಂಬೆನ್ ಸಾಧ್ಯ ಛೆನೀ .
ಇದನ್ನು ಮರೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಏನ್ ಭುಲೇನ್ ಸಾಧ್ಯ ಛೆಯೀ .|ಏನ್ ಭುಲೇನ್ ಸಾಧ್ಯ ಛೆನೀ .
ನಿಮ್ಮ ಕೆಲಸವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಮಾಡಿ .|ತಮಾರ್ ಕಾಮ್ ಪೂರ್ತಿಕರೋ .|ತು ತಾರ್ ಕಾಮ್ ಪೂರಾ ಕರ್ .
ಅವನಿಗೆ ಅದು ಇಷ್ಟವಾಗಲಿಲ್ಲ .|ವೊನ ವು ಪಸಂದ್ ಆಯಿಕೋನಿ .|ವು ವೊನ ಪಸಂದ್ ಛೆನಿ .
ಏನನ್ನೂ ಅಧ್ಯಯನ ಮಾಡಬೇಡಿ .|ಕಾಯಿ ಅಧ್ಯಯನ ಕರೋ ಮತ್ .|ಕಾಂಯಿ ಅಧ್ಯಯನ ಕರೋಮತ್ .
ಜನ ಸಿನಿಮಾ ನೋಡುತ್ತಿದ್ದಾರೆ .|ಲೋಕ್ ಸಿನೆಮಾ ದೇಕರೆಚ .|ಸಿನೆಮಾ ದೇಕರೆಚ .
ನಮ್ಮ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ !|ಹಮಾರ್ ಬಗ್ಗೆ ಭುಲಮತ್ .|ಹಮಾರ್ ಬಗ್ಗೆ ಭೂಲೋಮತ್ .
ನಾವು ಇನ್ನು ಮಾತನಾಡುವುದಿಲ್ಲ .|ಹಮ್ ಅಜಿ ವಾತೇ ಕರಾನಿ .|ಹಮ್ ಅಜಿ ವಾತೆ ಕರಾನಿ .
ಅದೊಂದು ಸರಳ ಚಿತ್ರ .|ಉ ಏಕ್ ಸರಳ್ ಚಿತ್ರ ಛ .|ಉ ಏಕ್ ಸರಳ್ ಸಿನೆಮಾ ಛ .
ನೀವು ಅದನ್ನು ನೋಡುತ್ತೀರಾ ?|ತಮ್ ಏನ್ ದೇಕೋ ಚೊ ಕ ?|ತು ವೊನ್ ದೇಕೆಚಿ ಕ ?
ನಾನು ಕಾರು ಚಾಲಕ .|ಮ ಕಾರ್ ಡ್ರೈವರ್ ಚು .|ಮ ಕಾರ್ ಡ್ರೈವರ್ ಚು .
ಅವನು ಕೇವಲ ಒಂದು ಮಗು .|ಉ ಬರಿ ಏಕ್ ಪಾಪು ಛ .|ಉ ಕೇವಲ ಏಕ್ ಪಾಪು ಛ .
ನಾವೆಲ್ಲರೂ ಅಲ್ಲಿಗೆ ಹೋಗಿದ್ದೇವೆ .|ಹಮ್ ಸೆ ವತ್ತ ಗೆಚಾ .|ಹಮ್ ಸೆ ವತ್ ಜಾಮಲೆಚಾ .
ನೀವು ಶಾಲೆಗೆ ಹೋಗುತ್ತೀರಾ ?|ತು ಸಾಲಿನ ಜಾಯೆಚಿ ?|ತು ಸಾಲಿನ್ ಜಾಯೆಚಿ ಕ ?
ಮೂರು ಕ್ಷೇತ್ರಗಳಲ್ಲಿ .|ತೀನ್ ಕ್ಷೇತ್ರೇಮ .|ತೀನ್ ಕ್ಷೇತ್ರ ಮಾಯಿ .
ಇದು ಯಾವಾಗ ಸಂಭವಿಸಿತು ?|ಈ ಕನ್ನಾ ವೇ ?|ಈ ಕನ್ನ ಸಂಭವಿಚ ?
ಇವೆಲ್ಲ ಬೇಕು .|ಏ ಸೇಜ ಚಾವಚ್ .|ಈಸೆ ಚಾಯ .
ಅವರು ನಾಳೆ ಬರುತ್ತಾರೆ .|ವೊ ಸವಾರ್ ಆವಚ .|ವೊ ಸವಾರ ಆವಚ .
ಇಲ್ಲದಿದ್ದರೆ ಬೀಳುತ್ತದೆ .|ನಿಕಾಣಿ ವು ಪಡಚ .|ನಿಕಾಣಿ ಪಡಚ್ .
ಅವರು ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ .|ವು ಲಬಾಡಿ ಕೇನಿ .|ವೊ ಲಬಾಡಿ ಕೇನಿ .
ಒಬ್ಬರು ಹೋಗಬೇಕಾಗಿತ್ತು .|ಏಕ್ ಮಾಣಸ್ ಜಾಣು .|ಎಕ್ಲೆ ಜಾಯೆರ್ ವೇತ್ತಿ .
ನೀವು ಬೇಗನೆ ತಿನ್ನಬೇಕು .|ತಮ್ ಜಲ್ದಿ ಖಾಣು .|ತಾರ್ ಜಲ್ದಿ ಖಾಣು .
ನಿಮಗೆ ಯಾವುದೇ ಅವಕಾಶವಿಲ್ಲ .|ತಮೆನ್ ಅವಕಾಶ ಛೆಯೀ .|ತೋನ್ ಎಕ್ಕಿ ಅವಕಾಶ ಛೆನಿ .
ಮನೆಯಲ್ಲಿ ತಾಯಿ ಇದ್ದರು .|ಯಾಡಿ ಘರೆಮ್ ವೇತ್ತಿ .|ಘರೆಮ್ ವೇತ್ತಿ .
ಈ ಔಷಧಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ .|ಈ ಔಷಧ ಲ .|ಈ ಔಷದ್ ಲೋ .
ನಾನು ಸೋಲುವುದಿಲ್ಲ !|ಮ ಸೋತುನಿ .|ಮ ಸೋವುನಿ .
ನಿಖರವಾಗಿ ಅದು ಏನು ?|ಇಜ್ ಠೀಕ್ ಚ .|ಖರೆ ಉ ಕಾ೦ಯೀ ಛ ?
ನಾನು ಚಹಾ ಕುಡಿಯುತ್ತಿದ್ದೇನೆ .|ಮ ಚಾ ಪಿರೋಚು .|ಮ ಚಾ ಪಿರೊಚು .
ಇನ್ನು ಯಾರು ಬರುತ್ತಿದ್ದಾರೆ ?|ಅಜಿ ಕುಣ ಆರೋಚ ?|ಅಜಿ ಕುಣ ಆರೋಚ ?
ಅವನಿಗೆ ಇದು ಸಾಕು .|ಇ ವೊನ ಘಣ್ ಚ .|ವೊನ್ ಈ ಧೇರ್ ಚ .
ನೀವು ಯಾಕೆ ಓದುತ್ತಿದ್ದೀರಿ ?|ತಮ್ ಕಾ ವೊದರೆಚೊ ?|ತು ಕಾ ವೊದರೊಚಿ ?
ನಾನು ಸ್ವಲ್ಪ ಅಳುತ್ತಿದ್ದೆ .|ಮ ದಸೆಕ್ ರೋರಿತಿ .|ಮ ದಸೆಕ್ ರೋರೋತೋ .
ಕೇಳಲು ಪರವಾಗಿಲ್ಲ .|ಸಾಮಳೆನ್ ಠೀಕ್ ಚ .|ಸಾಮಳೆನ್ ಕಾಂಯಿ ಚಾಲಚ .
ದಯವಿಟ್ಟು ಅದನ್ನು ಬರೆಯಿರಿ .|ಕೃಪಯಾ ವು ಲಕ್ಕ .|ಕೃಪಯಾ ವೊನ ಲಕ್ಕೋ .
ಅದು ಸಮಸ್ಯೆಯೇ ಅಲ್ಲ .|ಉ ಸಮಸ್ಯೆ ಕಾವ್ .|ವು ಸಮಸ್ಯೆ ಕಾವ .
ಹುಡುಗಿ ಕೆಳಗೆ ಬಿದ್ದಳು .|ಛೋರಿ ಹೇಟ ಪಡಗಿ .|ಛೋರಿ ಹೆಟ್ ಪಡಗಿ .
ಜೋರಾಗಿ ಮಳೆ ಸುರಿಯಿತು .|ಪಾಣಿ ಜೋರ್ ಪಡೋ .|ಜೋರ್ ಪಾಣಿ ಪಡಿಚ್ .
ನಾನು ಈಗ ತಿನ್ನುತ್ತಿದ್ದೇನೆ .|ಮ ಅಬ್ ಖಾರೊಚು .|ಮ ಅಬ್ಬೆ ಖಾರೊಚು .
ಇತಿಹಾಸದ ಎಳೆ .|ಇತಿಹಾಸೇರ ಏಳಿ .|ಇತಿಹಾಸೇರ ಎನ್ ಚ .
ನಾವು ಬಹಳಷ್ಟು ನಡೆದೆವು .|ಹಮ್ ಘಣ್ ಚಾಲೆ .|ಹಮ್ ಘಣ ಚಾಲೆಚಾ .
ಇದು ಅದೇ ಅಲ್ಲ .|ಈ ವೊರ್ ನಾಯಿ ಕಾವ .|ಈ ಉಜ ಕಾವ .
ಅವನು ಇನ್ನೂ ಬಂದಿಲ್ಲ .|ಉ ಅಜಿ ಆಯೆಕೊಂತಿ .|ವು ಅಜಿ ಆಯೆಕೊಂತಿ .
ಅದು ಎಷ್ಟು ಹಿಂದೆ ?|ಉ ಕತ್ರಾ ಲಾರ್ ಛ .|ಉ ಕತ್ರಾ ಲಾರ್ ಛ .
ರಾಮ್ ಚಾಲಕ .|ರಾಮ ಡ್ರೈವರ್ ಚ .|ರಾಮ ಡ್ರೈವರ್ ಚ .
ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡಿ .|ವತ್ತ ಜಾವೊಮತ್ .|ವತ ಜಾವಮತ್ .
ಇದು ದೂರದಲ್ಲಿದೆ .|ಈ ಘಣ ದುರ್ ಛ .|ವು ಘಣ್ ದೂರ್ ಚ .
ಲೇಖಕರು ಯಾರು ?|ಲೇಖಕ ಕುಣ ಚ ?|ಲೇಖಕ ಕುಣ ಚ ?
ಅವರು ಮನೆಯಲ್ಲಿದ್ದಾರೆ .|ಓ ಘರೇಮ್ ಛ .|ವೊ ಘರ್ ಚ .
ಮತ್ತು ಈ ಮಹಿಳೆ ?|ಅನ್ ಈ ಬಾಯಿಗೋಳೆ ?|ಅನ ಈ ಬಾಯಿಗೋಳೆ ಛ ಕ ?
ಅಲ್ಲಿ ವಿಫಲವಾಯಿತು .|ವತ್ ಫೇಲ್ ವೇಗಿ .|ವತ್ತ ಹಾಲ ವೇಗಿಚ್ .
ನಾನು ಕೆಲಸ ಮಾಡುತ್ತೇನೆ .|ಮ ಕಾಮ ಕರುಚು .|ಮ ಕಾಮ್ ಕರುಚು .
ಅವರು ಹಿಂತಿರುಗಿದ್ದಾರೆ .|ಓ ಹೊಟೊ ಆಯೇಚ .|ಓ ಹೊಟೊ ಆಯೇಚ .
ಸ್ವಲ್ಪ ಗಾಳಿ ಇದೆ .|ದಸೆಕ್ ವಾಳ ಚ .|ದಸೆಕ್ ವಾಳ್ ಛ .
ರಾತ್ರಿ ಬರುತ್ತೇನೆ .|ರಾತ್ ಆವುಚು .|ರಾತ್ ಆವುಚು .
ಇದು ನಮ್ಮದು !|ಈ ಹಮಾರ್ ಛ .|ಇ ಹಮಾರ್ ಚ .
ನಾನು ಗೆಲ್ಲಬೇಕು .|ಮ ಗೆದ್ದಣು .|ಮ ಜೀತಣು .
ಅದು ಆಗಲಿಲ್ಲ .|ಉ ಹುಯಿಕೋನಿ .|ಉ ಹುಯಿಕೋನಿ .
ಸಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಸಹಿಸಾಯೆನ್ ಸಾಧ್ಯ ಛೆಯೀ .|ಸಹಿಸೇರ್ ವೇನಿ .
ಚಿತ್ರದ ಕಥೆ .|ಪಿಚ್ಚರೇರ್ ಸಾಕಿ ಚ .|ಸಿನೇಮಾರ್ ಸಾಖಿ .
ಜನರನ್ನು ರಂಜಿಸಿದರು .|ವು ಲೋಗುನ ಮನೋರಂಜನ ದಿನೋ .|ಲೊಕುನ್ ಮನರಂಜನೆ ಕಿದೆ ಛ .
ನನಗೆ ಕಷ್ಟವಾಗಿದೆ .|ಮನ್ ಕಷ್ಟ ವೇಂಲಿಚ್ .|ಮನ್ ಘಣ ಕಷ್ಟಾ ಛ .
ಇದು ಕಾಳಜಿ ಅಲ್ಲ .|ಈ ಕಾಂಯಿ ಚಿಂತ್ಯಾರ ವಾತ್ ಕಾವ .|ಈ ಕಾಳಜಿ ಕಾವ .
ಕಾನೂನು ಬದಲಾಗಿಲ್ಲ .|ಕಾನೂನ್ ಬದ್ಲಿ ಹುಯಿಕೊಂತಿ .|ಕಾನೂನ್ ಬದಲೋಕೊಂತಿ .
ಯಾರೂ ಮಾತನಾಡುತ್ತಿಲ್ಲ .|ಕೋಇ ವಾತೇ ಕರ್ರೆ ಕೊಂತಿ .|ಕೊಯಿ ವಾತೆ ಕರರೆಕೊಂತಿ .
ಹಾಗಾಗಿ ಇದು ಸುಳ್ಳು .|ಜೇರ್ಸಾರು ಈ ಲಬಾಡ್ ಛ .|ಪಣ ಈ ಲಬಾಡ್ ಛ .
ನೀವು ಪರಿಶೀಲಿಸಿ .|ತು ಏನ್ ಚೆಕ್ ಕರ್ .|ತಾರ್ ಪರಿಶೀಲನೆ ಕರೋ .
ಅವಕಾಶ ಹೇಗೆ ಬಂತು ?|ಅವಕಾಶ ಕು ಆಯೀಚ .|ಅವಕಾಶ ಕು ಆಯೋ ?
ಅವನಿಗೆ ಮಕ್ಕಳಿರಲಿಲ್ಲ .|ಓನ್ ಛಿಜಿಯಾಪರ್ ವೆತ್ತೆಕೋನಿ .|ಓನ್ ಛಿಜಿಯಾಪರ್ ವೇತ್ತಿ ಕೋನಿ .
ಪ್ರಮುಖ ಸಮಸ್ಯೆ ನೀರು .|ಪ್ರಮುಖ ಸಮಸ್ಯೆ ಕತೋ ಪಾಣಿ .|ಏಕ್ ಪ್ರಮುಖ ಸಮಸ್ಯೆ ಪಾಣಿ .
ವ್ಯವಸ್ಥೆ ಬದಲಾಗಬೇಕು .|ವ್ಯವಸ್ಥೆ ಬದ್ಲಿ ವೇಣು .|ವ್ಯವಸ್ಥೆ ಬದ್ಲಿ ವೇಣು .
ಅದಕ್ಕೆ ಹಾನಿಯಾಗಿಲ್ಲ .|ಓನ್ ಹಾನಿ ಹುಯಿಕೊಂತಿ .|ಓನ್ ನೂಕ್ಸಾನ್ ಹುಯಿಕೊಂತಿ .
ಅದೊಂದು ಕೆಟ್ಟ ಪುಸ್ತಕ .|ವು ಮಾಂದೊ ಪುಸ್ತಕ್ ಚ .|ವು ಏಕ್ ಮಾಂದೊ ಪುಸ್ತಕ್ ಚ .
