kannada_source|lambani_target|lambani_predicted
ಈ ಹಿಂದೆ ಇಂತಹ ಘಟನೆಗಳು ನಡೆದಿವೆಯೇ ?|ಮೊದಲೇ ಅಸ ಘಟನೆ ವೇಮಲಿಚ ಕ ?|ಲಾರ್ ಅಸ ಘಟನೇನೋ ಚಾಲಿಚ ಕ ?
ಅವನು ತಪ್ಪಿತಸ್ಥನಾಗಿದ್ದರಿಂದ ಅವನಿಗೆ ಶಿಕ್ಷೆಯಾಯಿತು .|ಉ ತಪ್ಪ್ ಕರಮಲೋ ಜೇತಿ ಓನ್ ಶಿಕ್ಷೆ ಹುಯಿಚ .|ವು ಗಲತ ವೇತ್ತೋ ಜೇತಿ ವೊನ ಶಿಕ್ಷೆ ವಿ .
ನಾವು ಬೇರೆಲ್ಲಿಯಾದರೂ ನೋಡೋಣವೇ ?|ಅಪಣ ದುಸರ್ ಜಾಗ್ ಅಜಿ ದೆಕಾ ಕಾ೦ಯೀ ?|ಹಮ್ ಅಗರ ತಮೇನ ದಿಟೋಕೋನಿ ಕ ?
ರಾಜ್ ತನ್ನ ತಂದೆಯನ್ನು ತುಂಬಾ ಮಿಸ್ ಮಾಡಿಕೊಳ್ಳುತ್ತಾನೆ .|ರಾಜ್ ವೊರ್ ಬಾಪೇನ ಘಣ್ ಹರ್ದೆ ಕರಚ .|ರಾಜ್ ಓರ್ ಬಾಪೇನ್ ಘಣ ಬೇಟಿ ಕರಚ .
ನನ್ನ ವಕೀಲರ ಮಾತನ್ನು ನಾನು ಒಪ್ಪುತ್ತೇನೆ .|ಮಾರ್ ವಕೀಲೆರ್ ವಾತೆ ಮ ನಂಬುಚು .|ಮ ಮಾರ್ ವಕೀಲ್ ವಾತೇ ಒಪ್ಪುಚು .
ನಾನು ಇಂದು ಈ ಬೋರ್ಡ್ ಅನ್ನು ಸರಿಪಡಿಸುತ್ತೇನೆ .|ಮ ಈ ಬೋರ್ಡ್ ಆಜ್ ಠೀಕ್ ಕರುಚು .|ಮ ಆಜ್ ಈ ಬೋರ್ಡ್ ಠೀಕ್ ಕರುಚು .
ಒಂದು ಕಪ್ ಕತ್ತರಿಸಿದ ಈರುಳ್ಳಿ .|ಏಕ್ ಕಪ್ ಕಾಟಮಲೆ ಜೋಣ ಕಾಂದಾ .|ಏಕ್ ಕಪ್ ಕಾಟೊ ಜಕೋಣಿ ಕಾಂದಾ ಕಾಟೊ .
ಈತ ಇಬ್ಬರಲ್ಲಿ ಅತಿ ಎತ್ತರದವನು .|ವು ದೊಯೀಮ ಸೆತ್ತಿ ಲಾಂಬೊ ಚ .|ವು ಏಕೇನ ಏಕ್ ಲಾಂಬೊ ಚ .
ಕಾಗೆಯಿಂದ ಹಾವಿನ ಕಚ್ಚುವಿಕೆ ಪಾರಾಯಿತು .|ಕಾಗಲಾ ಸಾಪ ಕಾಟಜೇತಿ ಬಚಾಡೋ .|ಕಾಗಲಾ ದೂಧ್ ಕಾಟೆರ್ ಶುರು ವೇಗೋ .
ಪ್ರತಿಭಟನಾಕಾರರು ಕೆಲಕಾಲ ರಸ್ತೆ ತಡೆ ನಡೆಸಿದರು .|ಪ್ರತಿಭಟನೆ ಕರೆವಾಳ್ ರೋಡ್ ತಡೆ ಕಿದೆಚ .|ಪ್ರತಿಭಟನಾಕಾರನೋ ದಸೆಕ್ ವಾಟ್ ಥಾಮೆ .
ನೀನು ಯಾರೊಡನೆ ಮಾತನಾಡುತ್ತಿದ್ದೀಯ ?|ತು ಕೇರ್ ಜೋಡಿ ವಾತೇ ಕರ್ರಿಚಿ .|ತು ಕೇರ್ ಬಗ್ಗೆ ವಾತೆ ಕರರೊಚಿ ?
ಒಬ್ಬ ವ್ಯಕ್ತಿಯು ತನ್ನ ಮಿತಿಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು .|ಈ ಮಾಣಸ ಓರ್ ಮಿತಿ ಸಮಜಣು .|ಏಕ್ ಮಾಣಸ್ ವೊರ್ ಮಿತಿನುನ ಮಾಲಮ್ ಕರನು .
ನೀವು ದೀರ್ಘವಾದ ಉಸಿರನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು .|ತಮ್ ಮೋಟೋ ಉಸಲೇನ್ ಲೇನು .|ತಮ್ ಘಣ್ ದಾಡೆರ್ ಸಾಸ್ ಲೇಣು .
ಹದಿನಾರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಬಹುಮಾನ ವಿತರಿಸಲಾಯಿತು .|ಸೊಳಾ ವಿದ್ಯಾರ್ಥಿ ವನುನ್ ಬಹುಮಾನ ದಿನೇಚ .|ಸೋಳಹ ಸೆ ವಿದ್ಯಾರ್ಥಿವನುನ್ ಬಹುಮಾನ ದಿನೆಚ್ .
ನೀವು ಯಾವುದನ್ನೂ ಕ್ರಮಭದ್ದವಾಗಿ ಇಟ್ಟಿಲ್ಲ .|ತು ಕಾಂಯಿ ಠೀಕ್ ಮೇಲೊಕೊಂತಿ .|ತಮ್ ಕಾ೦ಯೀ ಕ್ರಮ ಲೆಣು .
ಇದೆಲ್ಲವೂ ಗೊಂದಲದ ಸಂಗತಿಯಾಗಿದೆ .|ಏ ಸೆ ಗೊಂದಲೆರಚ .|ಈಸೆ ಗೊಂದಲೇರ್ ಸಂಗತಿ ಛ .
ಅವರದು ಸಂಘರ್ಷದ ವ್ಯಕ್ತಿತ್ವ .|ಓರ್ ಸಂಘರ್ಶೆರ್ ವ್ಯೆಕ್ತಿತ್ವ ಛ .|ವನೂರ್ ಸಂಘರ್ಷೆರ್ ವ್ಯಕ್ತಿತ್ವ ಛ .
ಸಾಮಾಜಿಕ ಜಾಲತಾಣಗಳು ಬಹಳ ಜನಪ್ರಿಯವಾಗಿವೆ .|ಸೋಸಿಯಲ್ ನೆಟ್ ವರ್ಕಿಂಗ್ ವೆಬ್ ಸೈಟ್ ನೋ ಘಣ್ ಜನಪ್ರಿಯ ವೇಗಿಚ .|ಸಾಮಾಜಿಕ ಜಾಲತಾಣ ಘಣ ಜನಪ್ರಿಯ ಛ .
ಹೊಸದಾಗಿ ಮದುವೆಯಾದ ದಂಪತಿಯನ್ನು ಮನೆಯ ಹೊರಗೆ ಕೂರಿಸಲಾಗುತ್ತದೆ .|ನವೀನ ವಾಯಾ ವೇಮಲಜೆನ್ ನವಲೆರಿ ವೇತಡು ನ ಘರೇರ್ ಬಾಹರ್ ಬಸಾರಚ .|ಏಕ್ ನವೀನ ವಾಯಾ ವೇಂಡಿನ ಘರೇರ್ ಭಾರ್ ಘಾಲಚ .
ಇದು ಚಾಲಕರು ಮತ್ತು ಪಾದಚಾರಿಗಳಿಗೆ ಅಪಾಯಕಾರಿಯಾಗಿದೆ .|ಈ ಡ್ರೈವೇರೆ ವನುನ್ ಅನ್ ಚಾಲನ್ ಜಾವಜೆನ್ ಅಪಾಯಕಾರಿ ಛ .|ಈ ಡ್ರೈವಕರು ಅನ್ ಟಾಂಗೆನ್ ಅಪಾಯಕಾರಿ ಛ .
ಅನೇಕ ಜನರು ಊಟದ ನಂತರ ತಿಂಡಿಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಾರೆ .|ಘಣ ಲೋಕ್ ಬಾಟಿ ಖಾಲ ಜೆರಪಚ್ ಸ್ನಾಕ್ಸ್ ಖಾವಚ್ .|ಘಣ ಮಾಣಸ್ ಖಾಣೊ ಖಾದೆ ಜೆರ್ ಪಚ ವು ಖಾಣೊ ಖಾವಚ .
ಅವರು ದೇವಸ್ಥಾನದಲ್ಲಿ ಒಟ್ಟುಗೂಡಲು ಬಯಸುತ್ತಾರೆ .|ವೊ ವೊತ್ತ ಗುಡಿಮಾಯಿ ಸೇನಜ ಭೇಳೆನ ಬಯಸಚ .|ವೊ ಗುಡಿ ಮ ಸೇನಜ ಭೆಳೆನ ಬಯಸೆಚ .
ನೀವು ಇನ್ನೂ ಈ ಪುಸ್ತಕಗಳಲ್ಲಿ ಯಾವುದನ್ನಾದರೂ ಓದಿದ್ದೀರಾ ?|ತಮ್ ಏ ಪುಸ್ತಕೇವನುಮಾಯಿ ಅಜಿ ಕಾ೦ಯೀ ತೊಯೀ ಓದೆಚೊ ಕಾ೦ಯೀ .|ತಮ್ ಅಜಿ ಈ ಪುಸ್ತಕೇ ಮಾಯಿ ಕುಣಶಿ ಓದಮಲೆಚೊ ಕಾ೦ಯೀ ?
ಅವರು ಅನೇಕ ವರ್ಷಗಳ ಕಾಲ ಬುದ್ಧಿವಂತಿಕೆಯಿಂದ ಆಳಿದರು .|ವು ಕತ್ರಾಕೋ ವರ್ಷ ಬುದ್ಧಿವಂತಿಕೇತಿ ಆಡಳಿತ ಕಿದೋ .|ವು ಘಣ್ ವರ್ಸೆರ ಬುದ್ಧಿವಂತಿಕೆ .
ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆಗಳಿಗೆ ಹೋಗಲು ಅವರಿಗೆ ಯಾವುದೇ ನಿರ್ಬಂಧವಿಲ್ಲ .|ಸರಕಾರೀ ದಾವಾಖಾನಿನ ಜಾಯೇನ ವೂನುನ ಕಾಂಯಿ ನಿರ್ಬಂಧ ಛೆನಿ .|ಸರ್ಕಾರಿ ದಾವಾಖಾನಿನ್ ಜಾಯೆನ್ ವನುನ್ ಕುಣಶಿ ನಿರ್ಬಂಧ ಛೆನೀ .
ನೀವು ಅದನ್ನು ನನ್ನ ಗಂಡನ ಮೇಜಿನಿಂದ ತೆಗೆಯುತ್ತೀರಾ ?|ತಮ್ ಓನ್ ಮಾರ್ ಧಣಿ ರ ಟೇಬಲ್ ಪರ್ತಿ ಕಾಡೋ ಚೊ ಕಾಯಿ ?|ತು ವೊನ್ ಮಾರ್ ಧಣೀರ್ ಮೇಲೆಚಿ ಕ ?
ಮಳೆಯಿಂದ ದೂರವಾಣಿ ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ .|ಪಾಣಿ ಪಡೋ ಜೇತಿ ಫೋನೆರ್ ಸಂಪರ್ಕ ಕಡಿತ ವೇಗಿಚ .|ಪಾಣಿ ಪಡೋಜೇತಿ ಫೋನ್ ಕಾಟನಾಕೆತೆ .
ಮುಂಜಾನೆಯೇ ಅವರಿಗೆ ಎಣ್ಣೆ ಸ್ನಾನ ಮಾಡಲಾಗಿತ್ತು .|ವೊನ ಪರ್ಬಾತಿಜ್ ತೆಲೇರ್ ಹಂಗೋಳಿ ಕರಾನಾಕೆತೆ .|ಪರ್ಬಾತಿ ವುನೆನ್ ತೇಲ ಹಂಗೋಳಿ ಕರಾಯೆ .
ಈ ಪುರುಷರ ಉಡುಗೆ ಮತ್ತು ಉಡುಪುಗಳನ್ನು ಗುರುತಿಸಿ .|ಈ ಮಾಟಿ ವನೂರ್ ಓಡೆರೋ ಫೆರೆರೋ ಗುರುತ್ ಕರೋ .|ಏ ಮಾಟಿರ್ ಡ್ರೆಸ್ ಅನ್ ಕಪಡಾ ಪರ್ತಾ ಕರೋ .
ರಕ್ತ ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆಯ ವಿಧಗಳು .|ಲೋಇ ಹೆಪ್ಪ್ಗಟ್ಟೇರ್ ನಾಳಿ ನಾಳಿ ವಿಧಾನ ಛ .|ರಯುಕ್ತ ಗಟ್ಟು ವಿಧಿ ಛ .
ನಾವು ಕೃಷಿ ಬೆಳವಣಿಗೆಯನ್ನು ಉತ್ತೇಜಿಸಬೇಕಾಗಿದೆ .|ಅಪಣ ಕೃಷಿ ಬೆಳವಣಿಗೆನ ಉತ್ತೇಜನೆ ಕರನು .|ಅಪಣ ಕೃಷಿ ಬೆಳವಣಿಗೆ ಉತ್ತರ ದೇಣು .
ಓ! ಸ್ನೇಹಿತರೇ, ನೀವು ಬೆಳ್ಳಿಯನ್ನು ಧರಿಸಿದ್ದೀರಿ .|ಏ! ದೋಸ್ತಣೆ ತಮ ಚಾಂದಿ ಘಾಲಮಲಿಚೊ .|ಏ! ದೋಸ್ತೇ, ತು ಚಾಂದಿ ಪೆರಮಲೀ .
ಡಾರ್ಲಿಂಗ್, ನೀವು ಬೆವರು ಮಾಡುತ್ತಿದ್ದೀರಿ .|ಡಾರ್ಲಿಂಗ್, ತೋನ ಪರಸಣಾ ಆರೇಚ .|ಡೊಲಿ, ತಮ್ ಬೆಳೆಚೊ .
ಪಠ್ಯದಲ್ಲಿ ಸಮಯವಲಯವನ್ನು ತೋರಿಸಿ .|ಟೆಕ್ಸ್ಟೆಮ ಟೈಂಝೋನ್ ದಕಾಳೊ .|ಪಠ್ಯೆಮಾಯಿ ಟೈಮ್ ದಕಾಳೊ .
ನಮ್ಮ ಯೋಜನೆಗೆ ಮೂವತ್ತು ಕೋಟಿ ರೂಪಾಯಿ ಘೋಷಣೆ ಮಾಡಲಾಗಿದೆ .|ಹಮಾರ್ ಯೋಜನೆನ್ ತೀನ್ ಕೋಟಿ ರಪ್ಯಾ ಮಂಜೂರ್ ಕಿದೆಚ್ .|ಅಪಣ ಯೋಜನೆರ ತೀಸ್ ಕರೋಡ್ ರಪಿಯಾ ಘೋಷಣೆ ಕರಮಲೆಚ .
ಉಳಿದವುಗಳನ್ನು ಕ್ಷೇತ್ರಕಾರ್ಯದ ಮೂಲಕ ಸಂಗ್ರಹಿಸಲಾಗುತ್ತದೆ .|ಬಾಕಿ ರೇಮಲ ಜೇನ ಕಾರ್ಯಕ್ಷೇತ್ರ ತಿ ಗೋಳಾಕರಚ .|ಬಾಕಿನುನ ಕ್ಷೇತ್ರ ಕಾಮ್ ಕರನ್ ಗೋಳಾಕರಚ .
ಇಬ್ಬರೂ ಪ್ರತಿಷ್ಠಿತ ವ್ಯಕ್ತಿಗಳ ಸಾಲಿನಲ್ಲಿ ಕುಳಿತಿದ್ದರು .|ದೊಯೀ ಪ್ರತಿಷ್ಠಿತ ಮಾಣಸೇರ ಸಾಲೆಮ ಬೇಟೆತೆ .|ದೋಇ ಪ್ರತಿಷ್ಠಿತ ಲೋಕ್ ಸಾಲೆತೆ .
ಎಲೆಗಳು ಚಳಿಗಾಲದಲ್ಲಿ ಮರಗಳಿಂದ ಬೀಳುತ್ತವೆ .|ಝಾಡೇರೋ ಪಾಲೋ ಸಿಯೇರ ದಾಡೇಮ ಝಡಚ .|ಪಾಲೊ ಶಿಯೇರ ದಾಡೆಮ ಪಡಚ್ .
ನಂತರ ಅವರು ನಿಧಾನವಾಗಿ ಕೃಷಿ ಮತ್ತು ವ್ಯಾಪಾರಕ್ಕೆ ತೆರಳಿದರು .|ಲಾರ್ತಿ ವೊ ಸಾವಕಾಶ ಕೃಷಿ ಅನ ವ್ಯಾಪಾರೇಮ ದರಗೆ .|ಲಾರ್ತಿ ವು ಸಾವ್ಕಾಸ್ ಅನ ವ್ಯಾಪಾರೇನ ಗೆ .
ನೀರಿನ ಟ್ಯಾಂಕ್ ಒಡೆದು ಮಹಿಳೆ ಸಾವನ್ನಪ್ಪಿದ್ದಾಳೆ .|ಪಾಣಿರ್ ಟ್ಯಾಂಕ್ ಫುಟನ ಏಕ್ ತಾಂಡರಿ ಮರಗಿಚ .|ಪಾಣಿ ಟ್ಯಾಂಕ್ ಫುಟನ್ ಬಾಯಿಗೋಳೆ ಮರ್ಗಿಚ .
ಅವನು ತನ್ನ ಸಿದ್ಧಾಂತವನ್ನು ಎಂದಿಗೂ ರಾಜಿ ಮಾಡಿಕೊಳ್ಳುವುದಿಲ್ಲ .|ವು ವೊರ್ ಸಿದ್ಧಾಂತೇನ ಕನ್ನಾಯಿ ರಾಜಿ ವೇನಿ .|ಉ ಓರ್ ಸಿದ್ಧಾಂತ ಕನ್ನಾಯಿ ರಾಜಾನಿ .
ಪ್ರಕ್ರಿಯೆಯನ್ನು ಎರಡರಿಂದ ಮೂರು ಬಾರಿ ಪುನರಾವರ್ತಿಸಿ .|ಪ್ರಕ್ರಿಯಾ ದಿಯೇತಿ ತೀನ್ ವಣಾ ಫರ್ತಿನ ಕರೋ .|ಪ್ರಕ್ರಿಯಾನ್ ತೀನ್ ವಣಾ ಅಜೆಕ್ ವಣಾ ಕರೋ .
ಹುಡುಗಿಯನ್ನು ಕೊಂದ ವ್ಯಕ್ತಿಗೆ ಶಿಕ್ಷೆ ವಿಧಿಸಲಾಗಿದೆ .|ಛೋರೀನ್ ಮಾರೆ ಜೆ ಮಾಟಿನ್ ಶಿಕ್ಷೆ ದಿನೆ ಛ .|ಛೋರಿನ ಮಾರಮಲ ಜೆ ಮಾಣಸೇನ ಸಜಾ ಘಾಲಚ .
ನೀವು ನನ್ನನ್ನು ಇತರರ ಮೇಲೆ ಅವಲಂಬಿಸುವಂತೆ ಮಾಡಿದ್ದೀರಿ .|ತು ಮನ ದುಸರೇರ ಪರ ಭರೋಸಾ ಕರ ಜು ಕರಗೋ .|ತು ಮನ್ ದುಸರೇರ್ ಪರ್ ನಿರ್ಭರ್ ರೇಣು .
ಅದೊಂದು ಸುಂದರ ರಾತ್ರಿ, ಹುಣ್ಣಿಮೆ ಇದೆ .|ವು ಏಕ್ ಛಂದ್ ರಾತ್ ಚ, ಪೂರಾ ಚಾಂದಾ ಛ .|ಉ ಘಣ ಛಂದ್ ರಾಮೆ ಛ .
ಭಾನುವಾರದಂದು ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತೇನೆ .|ಮ ರವಿವಾರೇರ ಅರಾಮ್ ಕರುಚು .|ಮ ರವಿವಾರೇರ್ ಅರಾಮ್ ಕರುಚು .
ನನ್ನ ಬಟ್ಟೆಗಳು ಈಗಾಗಲೇ ಒಣಗಿವೆಯೇ ?|ಮಾರ ಲತಾಕೌಡ ಸುಖಾಗೆಚ ಕ ?|ಮಾರ್ ಜಿಗಲಾ ಮೊದಲೆಜ್ ಸುಕಾಯೋ ಕ ?
ಶುಲ್ಕಗಳನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ವಿಧದಲ್ಲಿ ಪಾವತಿಸಲಾಗುತ್ತದೆ .|ಶುಲ್ಕ ಕಸ ರಜೆಪರ ಭರಚ .|ಶುಲ್ಕಣ ಕನ್ನಾಯಿಬಿ ಭರಚ್ .
ಹನ್ನೆರಡು ಇಂಚುಗಳು ಒಂದು ಪಾದವನ್ನು ಮಾಡುತ್ತವೆ .|ಬಾರಾ ಇಂಚ್ ಏಕ್ ತಳವಾ ಕರಚ್ .|ಬಾರಾಹ ಇಂಚನೋ ಏಕ ಟಾನ್ಸಾ ಕರಚ .
ನನಗೆ ವಿಚಿತ್ರವಾದ ಶಬ್ದ ಕೇಳಿಸಿತು .|ಮ ಏಕ್ ವಿಚಿತ್ರ ಅವಾಜ್ ಸಾಮಳೋ .|ಮನ್ ವಿಚಿತ್ರ ಸಾಮಳಾಯಿ .
ಪ್ರಸ್ತುತ ಸರ್ಕಾರ ಕರ್ನಾಟಕದಲ್ಲಿ ಕುಸಿದಿದೆ .|ಕರ್ನಾಟಕ ಸರ್ಕಾರ್ ಪತನ ವೇಮಲೀಚ .|ಅಬ್ ಸರ್ಕಾರ್ ಕರ್ನಾಟಕೇಮ ಪಡಗಿಚ .
ಆದರೆ ಸಾಧ್ಯತೆ ಅಸಂಭವವೆಂದು ತೋರುತ್ತದೆ .|ವೆರೋ ಅಸಂಭವ್ ಚ ಕೆನ್ ಅನಸಾರಿಚ .|ಪಣ ಸಾಧ್ಯತೆ ವೆನಿ ಕರನ್ ಮಾಲಮ್ ವಚ .
ಬಿಳಿ ಬಣ್ಣವು ಶಾಂತಿಯನ್ನು ಸಂಕೇತಿಸುತ್ತದೆ .|ಧೊಳೋ ರಂಗ್ ಶಾಂತಿರ ಪ್ರತೀಕ್ ಚ .|ಧೊಳೋ ಬಣ್ಣ ಶಾಂತಿ ಸಂಕೇತ ಕರಚ .
ಅಧ್ಯಕ್ಷರ ಜತೆ ಸಭೆ ನಡೆಸಿದ್ದೇನೆ .|ಅಧ್ಯಕ್ಷರೇ ವನು ಜೋಡಿ ಸಭೆ ಚಲಾಯೆಚು .|ರಾಷ್ಟ್ರಪೇರ್ ಲಡಾಯಿ ಏಕ್ ಮೀಟಿಂಗೇಮ್ ಚು .
ಕುಟುಂಬದೊಂದಿಗೆ ಉತ್ತಮ ಸಾಮರಸ್ಯದಿಂದಿರಿ .|ಪರಿವಾರೇರ್ ಜೋಡಿ ಆಚ್ ತಾಲಮೇಲ ರಕಾಡೊ .|ಪರಿವಾರೇರ್ ಜೋಡಿ ಠೀಕ್ ಸಾಮರಸ್ಯ ರೋ .
ಐದು ನಿಮಿಷಗಳ ಹಿಂದೆ ಅವನು ಹೊರಗೆ ಹೋದನು .|ವು ಪಾಂಚ್ ನಿಮಿಷೇರ್ ಲಾರ್ ಭಾರ ದರಗೊ .|ಪಾಂಚ್ ನಿಮಿಷೇರ್ ಆಂಗ್ ಉ ಭಾರ್ ಗೆ .
ಅವರು ಮಾಂಸವನ್ನು ಸಣ್ಣ ತುಂಡುಗಳಾಗಿ ಕತ್ತರಿಸುತ್ತಾರೆ .|ವೊ ಬೋಟಿರ ನಾಣಕಿ ನಾಣಕಿ ಟುಕಡಾ ಕಾಟಚ .|ಓ ಬೋಟಿ ವನುನ್ ಏಕ ನಾಣಕ್ಯ ಟುಕಡಾ ಕಾಟಚ .
ನೇರವಾಗಿ ನಿಂತು ಪಾದಗಳನ್ನು ಒಟ್ಟಿಗೆ ಇರಿಸಿ .|ಸೀದಾ ಹುಬರನ ದೊಯೀ ಟಾಂಗ್ ಠೀಕ್ ಮೇಲೋ .|ಸೀದಾ ಹುಬರೋ ಅನ ಟಾಂಗ್ ಮೇಲೋ .
ಅವನು ತನ್ನ ಹಿಂದೆ ಇಬ್ಬರು ಮಕ್ಕಳನ್ನು ಬಿಟ್ಟು ಹೋಗುತ್ತಾನೆ .|ಉ ಓರ್ ಲಾರ್ ದಿ ಛಿಜಿಯಾಪರ್ ಛೋಡ್ ದೆನ್ ಜಾವಚ .|ವು ವೊರ್ ಲಾರ್ ದೀ ಛಿಜ್ಯಪರೇನ ಛೋಡನ ಜಾವಚ .
ಬುಡಕಟ್ಟು ಪದ್ಧತಿಗಳಲ್ಲಿ ಬದಲಾವಣೆಗಳು ವೇಗವಾಗಿ ನಡೆಯುತ್ತಿವೆ .|ಬುಡಕಟ್ಟು ಪದ್ಧತಿಮ್ ಬದಲಾವ್ ಘಣ ಜಲ್ದಿ ವೇರಿಚ .|ಬುಡಕಟ್ಟು ಪದ್ಧತಿಮ ಬದಲಾವ್ ಘಣ ಜಲ್ದಿ ವೇರಿಚ .
ನಾನು ಎಷ್ಟು ಚಿಂತಿತನಾಗಿದ್ದೇನೆ ಎಂದು ನಿಮಗೆ ತಿಳಿದಿಲ್ಲ .|ಮನ್ ಕತ್ರಾ ಚಿಂತ್ಯಾ ವೆರೀತಿ ತೋನ್ ಮಾಲಮ್ ಛೆನಿ .|ಮನ್ ಕತ್ರಾ ಚಿಂತಿತ ಚ ಕೆನ್ ಮಾಲಮ್ ಛೆನಿ .
ನಾಯಿಯನ್ನು ಕಂಡ ಕಳ್ಳ ಓಡಿಹೋದ .|ಕುತ್ರಾನ್ ದೇಕನ್ ಚೋರ್ ಧಾಸಗೊ .|ಕುತ್ರಾನ್ ಧಣಿ ಧಾಸಗೊ .
ಯಾವುದೇ ಕೆಲಸ ಮಾಡುವ ಮುನ್ನ ಯೋಚಿಸಿ ನಿರ್ಧರಿಸಿ .|ಕುಣಶಿಭಿ ಕಾಮ್ ಕರೆರ್ ಆಂಗ್ ವಿಚಾರ್ ಕರನ್ ನಿರ್ಧಾರ್ ಕರೋ .|ಕುಣಶಿಭಿ ಕಾಮ್ ಕರೆರ್ ಆಂಗ್ ಯೋಚನೆ ಕರೋ .
ಪ್ರತಿಯೊಬ್ಬ ಪುರುಷನು ಪ್ರತಿ ಮಹಿಳೆಯನ್ನು ಗೌರವಿಸಬೇಕು .|ಹರ್ ಏಕ್ ಮಾಟಿ ಹರ್ ಏಕ್ ಬಾಯಿಗೋಳೆನ ಮರ್ಯಾದಿ ದೇಣು .|ಪ್ರತಿ ಏಕ್ ಮಾಟಿ ವನುನ್ ಮರ್ಯಾದಿ ಕರನು .
ಕೆಲವರು ಉತ್ತಮವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದಾರೆ ಮತ್ತು ಕೆಲವರು ಇಲ್ಲ .|ದಸೆಕ್ ಮಾಣಸ್ ಠೀಕ್ ಕಾಮ್ ಕರರೇಚ ಅನ ದಸೆಕ್ ಛೆನಿ .|ದಸೆಕ್ ಮಾಣಸ್ ಠೀಕ್ ಕಾಮ್ ಕರ್ರೋಚ ಅನ ದಸೆಕ್ ಛೆನಿ .
ಅವರು ಯಾವುದೇ ವಿಧ್ಯುಕ್ತ ಸ್ನಾನವನ್ನು ಮಾಡಲಿಲ್ಲ .|ವೊ ಎಕ್ಕಿ ಔಪಚಾರಿಕ ಹಂಗೋಳಿ ಕಿದಿ ಕೊಂತಿ .|ಓ ಕುಣಶಿ ವಿಧ್ಯಯುಕ್ತ ಹಂಗೋಳಿ ಕಿದೆ ಕೊಂತಿ .
ಅವರು ನಮಗೆ ಉಪನ್ಯಾಸ ನೀಡುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು .|ವು ಹಮೆನ್ ಉಪನ್ಯಾಸ ದೇರ್ ಬಂದ್ ಕರನು .|ಓ ಹಮೆನ್ ಉಪನ್ಯಾಸ್ ದೆಣು .
