kannada_source|lambani_target|lambani_predicted
ಕೇರಳದಲ್ಲಿ ಓರ್ವ ಕಾರ್ಮಿಕನ ಹತ್ಯೆಯಾಗಿದೆ .|ಕೇರಳಾ ಮಾಯಿ ಏಕ್ ಕಾರ್ಮಿಕೆರ್ ಹತ್ಯೆ ವೇಮಲಿಚ್ .|ಕೇರಳಾಮಾಯಿ ಏಕ್ ಸೈನಿಕೆರ್ ಕಾಮತ್ಯಾರೆ ಛ .
ಅವನು ಕಲ್ಲನ್ನು ಎಸೆದನು ಆದರೆ ಅದು ನಾಯಿಯನ್ನು ತಪ್ಪಿಸಿತು .|ಉ ಭಾಟಾ ಫೆಕೋಚ ಪಣ ಕುತರಾ ತಪ್ಪಸಾಲಿದೊಚ್ .|ವು ಭಾಟಾ ಮಾರೋಚ ಪಣ ವೋರ ಕುತರಾನ ತಪ್ಪೋ .
ಅವರು ನವಿಲಿನ ಹುರಿದ ಮಾಂಸವನ್ನು ತಿನ್ನುತ್ತಿದ್ದಾಗ .|ವೊ ಮೋರೇರ ಭುಂಜಮಲೆ ಜೋಣ ಬೋಟಿ ಖಾರೆ ಜನಾ .|ವು ಮೋರೇರ ಬೋಟಿ ಖಾರೊಜನಾ .
ನಾನು ದೈತ್ಯನ ತಂದೆ ಕಾನಾ ಎಂದು ನರಿ ಹೇಳಿತು .|ಲೋಮಡಿ ಮ ದೈತ್ಯರ ಬಾಪ ಕಾನಾ ಚು ಕೇನ ಕಿ .|ಮ ದಾರೀನೂರ ಬಾಪ್ ಕಾನಾ ಚ ಕೇನ ಲೋಮಡಿ ಕಿ .
ಇಲ್ಲಿ ಖಳನಾಯಕರೂ ಇಲ್ಲ, ನಾಯಕರೂ ಇಲ್ಲ .|ಅತ್ ಕೊಯಿ ವಿಲ್ಲನ್ ಅನ ಕೊಯಿ ಹೀರೊ ಛೆನಿ .|ಅತ್ ಖಾಳಕರ್ ಛೆನಿ, ನಾಯಕ್ ಛೆನಿ .
ಎಲ್ಲಾ ಬೆಕ್ಕುಗಳು ಕತ್ತಲೆಯಲ್ಲಿ ಬೂದು ಬಣ್ಣದಲ್ಲಿರುತ್ತವೆ .|ಸೆಜ್ ಶಿಬ್ಬಿಯೊ ರಾತ್ ಭೂರೀ ದಿಕಾವಚ .|ಸೆ ಸಿಬ್ಬಿನೋ ಅಂದಾರೋ ರಚ .
ನಾನು ಹತ್ತು ದಿನ ದೂರ ಇದ್ದೆ ಮತ್ತು ಪ್ರತಿ ದಿನ ಮಳೆ ಬರುತ್ತಿತ್ತು .|ಮ ದಸ್ ದಾಡ ದೂರ್ ವೇತ್ತಿ ಅನ್ ದಾಡ್ಡಿ ಪಾಣಿ ಪಡತಿತಿ .|ಮ ದಸ್ ದಾಡ್ ವೇತ್ತೋ ಅನ ಹರ್ ಏಕ್ ದಾಡ್ ಪಾಣಿ ಪಡರೊತೊ .
ಮಧುಮೇಹಿಗಳಿಗೆ ನಿಯಮಿತವಾಗಿ ಔಷಧಗಳನ್ನು ಸೇವಿಸುವುದು ಉತ್ತಮ .|ಸಕ್ಕರೆರ್ ರೋಗ್ ರ ಜಕೋಣಿ ದಾಡ್ಡಿ ಔಷದ್ ಲೇಣು .|ಡಯಾಬಿಟಿಗಿ ದಾಡ್ಡಿ ಔಷಧೇರ ಆಚೊ ರಚ .
ಎರಡನೇ ಟೆಸ್ಟ್ ಕೂಡ ಇಲ್ಲಿಯೇ ನಡೆಯಲಿದೆ .|ದಿನೇದ ಟೆಸ್ಟ್ ಭೀ ಎತ್ತಜ ಚಾಲಚ್ .|ದುಸರ್ ಟೆಸ್ಟ್ ಭೀ ಅತ್ತಜ ಚಾಲಚ .
ಮನೆಯಲ್ಲಿ ಕಪ್ಪು ಚುಕ್ಕೆಗಳನ್ನು ತೊಡೆದುಹಾಕಲು ಹೇಗೆ .|ಘರೆಮ ಕಾಳ್ ಕಲಿ ಕು ಕಾಡೇರೊ .|ಘರೆಮ್ ಕಾಳೊ ಭಂಟೆನುನ ಕು ಘಾಲೇನ್ ?
ಭಾರತದಲ್ಲಿ ಬುಡಕಟ್ಟು ಮಹಿಳೆಯರ ಆರೋಗ್ಯ ಸ್ಥಿತಿ ತುಂಬಾ ಕಳಪೆಯಾಗಿದೆ .|ಭಾರತೇಮ ಬುಡಕಟ್ಟು ಬಾಯಿಗೋಳೇರ ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಘಣ ಮಾಂದ್ ಚ .|ಭಾರತೆಮ ಬುಡಕಟ್ಟು ಬಾಯಿಗೋಳೇರ ಆರೋಗ್ಯ ಘಣ್ ಮಾಂದ್ ಚ .
ವಿವಾಹಿತರು ಮತ್ತು ಅವಿವಾಹಿತ ಮಹಿಳೆಯರು ಅವುಗಳನ್ನು ಧರಿಸುತ್ತಾರೆ .|ವಾಯಾವಾಳ ಅನ ಬಗರ್ ವಾಯಾವಾಳ್ ಬಾಯಿಗೋಳೆ ವೂನುನ ಘಾಲಚ .|ವಾಯಾವಾಳ್ ಅನ ಬಗರ್ ವಾಯಾವಾಳ ಬಾಯಿಗೋಳೆ ವೂನುನ ಘಾಲಚ .
ನೀವು ಯಾಕೆ ಈ ರೀತಿ ಅಸಂಬದ್ಧವಾಗಿ ಮಾತನಾಡುತ್ತಿದ್ದೀರಿ ?|ತಮ್ ಕಾ ಹನು ಸಂಬಂಧ ಛೆಯೀಜು ವಾತೇ ಕರ್ರೆಚೊ .|ತು ಹಯಿ ಕಾ ವಾತೆ ಕರ್ರೊಚಿ ?
ಇದರಿಂದ ಧಾರ್ಮಿಕ ಭಾವನೆಗಳಿಗೆ ಧಕ್ಕೆಯಾಗಿದೆ .|ಯೇತಿ ಧಾರ್ಮಿಕ ಭಾವನೆನ್ ಧಕ್ಕೆ ವೇಮಲಿಚ್ .|ಯೇತಿ ಧಾರ್ಮಿಕ ಭಾವನೇನ ಧಾಸಗೀಚ .
ಇದು ಹಲವಾರು ವೀಕ್ಷಕರ ಅಸಮಾಧಾನಕ್ಕೆ ಕಾರಣವಾಗಿದೆ .|ಈ ಘಣ ವಿಕ್ಷಕೆರ್ ರಿಸೆನ್ ಕಾರಣ ವೇಮಲಿಚ್ .|ಈ ಘಣ ವೀರ ಅಸಮಾಧಾನೆನ್ ಕಾರಣ್ ಛ .
ಅತಿಥಿಗೆ ಮುಖ ತೊಳೆಯಲು ಮೊದಲು ನೀರು ಕೊಡುತ್ತಾರೆ .|ಪಾಮಣೇನ ಪೆಹಲೆ ಮುಂಡೋ ಧೊಯೆನ್ ಪಾಣಿ ದಚ .|ಪಾಮಣ್ ಮುಂಡೋ ಧೊಯೇನ ಪೆಹಲೆ ಪಾಣಿ ದಚ .
ನಾವು ಸ್ಕೂಟರ್ ರಿಪೇರಿ ಮಾಡಬೇಕಾಗಿತ್ತು .|ಹಮೇನ್ ಸ್ಕೂಟರ್ ರಿಪೇರಿ ಕರೆರ್ ವೇತ್ತಿ .|ಹಮ್ ಸ್ಕೂಟರ್ ಪೇರಿ ಕರೆರ್ ವೇತ್ತಿ .
ನೀವು ಮನೆಯವರೆಗೂ ಓಡಿದವರಂತೆ ಕಾಣುತ್ತೀರಿ .|ತು ಘರೇಲಗಾ ಧಾಸನ್ ಗೆ ಜು ದಿಕಾಯೆಚಿ .|ತು ಘರೇಲಗಾ ಧಾಸರೊಚಿ .
ಶೀಘ್ರದಲ್ಲಿಯೇ ಎಲ್ಲ ಸಮಸ್ಯೆಗಳನ್ನು ಬಗೆಹರಿಸಲಾಗುವುದು .|ಘಣ ಝಲ್ದಿ ಸೆ ಸಮಸ್ಯಾ ಬಗೆಹರಸಾಣು .|ವೊನ್ ಜಲ್ದಿ ಸಮಸ್ಯೆರ ಸಮಾಧಾನ ಕರಚ .
ಇದರಿಂದ ಭಯದ ವಾತಾವರಣ ನಿರ್ಮಾಣವಾಗಿದೆ .|ಯೇತಿ ಚಮಕಣಿರ ವಾತಾವರಣ ವೇಮಲಿಚ .|ಯೇತಿ ಚಮಕೇರ್ ವಾತಾವರಣ ಭಾಂದಗೀಚ .
ಈ ಲೇಖನವು ಅಲ್ಲಿಗೆ ಹೇಗೆ ಹೋಗುವುದು ಎಂದು ಹೇಳುತ್ತದೆ .|ಇ ಆರ್ಟಿಕಲ್ ವತ್ ಕು ಜಾಣು ಕಚ .|ಈ ಲೇಖನ ಕು ಜಾಣು ಕೇನ ಕಚ .
ಈತ ಜೂಜಾಟದ ಚಟ ಹೊಂದಿದ್ದಾನೆ .|ಏನ್ ಮಟ್ಕಾ ರಮೇರ್ ಚಟಾ ಛ .|ವು ಪೂರಾ ಜಾಯೆರ ಚಟಾ ಚ .
ಸರಿಯಾದ ಗಾತ್ರದೊಂದಿಗೆ ಟಿಶರ್ಟ್ ಅನ್ನು ಆರಿಸಿ .|ಠೀಕ್ ಸೈಜರ್ ಟೀಶರ್ಟ್ ಆಯ್ಕೆ ಕರ್ .|ಠೀಕ್ ಗಾತ್ರೆರ್ ಜೋಡಿ ಶರ್ಟ್ ಆಯ್ಕೆ ಕರೋ .
ಇದು ತಮಾಷೆಯ ಚಮತ್ಕಾರಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ .|ಈ ವೊ ತಮಾಷಾಮ್ ಏಕ್ ಚ .|ಈ ಮಜಾಕೇರ ಬೇಟಿ ಮಾಯಿ ಏಕ್ ಛ .
ವರನಿಗೂ ಸಹ ಹೆಂಗಸರೇ ಸ್ನಾನ ಮಾಡಿಸಿದರು .|ಛೋರಾನ್ ಭೀ ಬಾಯಿಗೋಳೆ ಹಂಗೋಳಿ ಕರಾವಚ .|ನವಲೆರಿನ ಬಿ ಹೆಮಳಿ ಕರಾಯೋ .
ಬಹಳಷ್ಟು ಗಂಡಸರು ಕೂಡ ಕೃಷಿ ಕಾರ್ಮಿಕರಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಾರೆ .|ಘಣ್ ಮಾಟಿನೊ ಭೀ ಖೇತೇರ್ ಕಾಮ್ ಕರಚ .|ಘಣ್ ಮಾಟಿನೊ ಬಿ ಕೃಷಿರ ಕಾಮ್ ಕರೆಮ ಭಳಚ .
ನಿನ್ನೆಯಿಂದ ಜ್ವರ ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ ತಗ್ಗಿದೆ .|ಕಾಲೆತಿ ತಾವ್ ದಸೆಕ್ ಕಡ್ಮಿ ಛ .|ಕಾಲೆತಿ ತಾವ್ ದಸೆಕ್ ಮಟ್ಟಗೋಚ .
ನಿಮಗೆ ಯಾವತ್ತೂ ತರಗತಿ ಇಲ್ಲ ಅಥವಾ ಏನು ? !|ತಾರ್ ಕನ್ನಾಯಿ ಕ್ಲಾಸ್ ರೇನಿ ಕ ?|ತಮೆನ್ ಕಾಂಯಿ ಕ್ಲಾಸ್ ಛೆನಿ ?
ನಾನು ಸಮಾಧಾನದ ನಿಟ್ಟುಸಿರು ಬಿಟ್ಟೆ .|ಮ ಸಮಾಧಾನೆರ್ ನಿಟ್ಟುಸಿರು ಛೋಡಿಚು .|ಮ ಸಮಾಧಾನ್ ಸಾಸೊ ಛೋಡ್ನಾಕೋ .
ಪತ್ನಿಗೆ ಅಕ್ರಮ ಸಂಬಂಧವಿದೆ ಎಂದು ಶಂಕಿಸಿದ್ದರು .|ವೋರ ಗೋಣ್ಣಿರ ಅನೈತಿಕ ಸಂಬಂಧ ಛ ಕೇನ ವೊನ ಶಂಕಾ ವೇತ್ತಿ .|ಪೇಪರೇನ ಅಕ್ರಮ ಕೇನ ಶಕ್ ವೆತ್ತೋ .
ಇದೇ ಎರಡು ರಾಜಕೀಯ ಪಕ್ಷಗಳ ನಡುವಿನ ವ್ಯತ್ಯಾಸ .|ಈಜ್ ದೋಇ ರಾಜಕಿಯೇರ್ ಪಕ್ಷೆರ್ ನಡುವೆರ್ ಅಂತರ್ ಛ .|ಈಜ್ ದೋಇ ರಾಜಕೀಯ ಪಕ್ಷೆರ್ ನಡು ವ್ಯತ್ಯಾಸ ಛ .
ಈ ಸಂದರ್ಭವನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಭಾವನೆಗಳು ಮತ್ತು ದುಃಖದಿಂದ ವಿಧಿಸಲಾಗುತ್ತದೆ .|ಏ ಸಂಧರ್ಬೆನ್ ಭಾವನೇತಿ ಅಜಿ ದುಖೇತೀ ವಿಧಾಸವಚ .|ಏ ಸಂದರ್ಭೆಮ ಏಕ್ ಭಾವನೆ ಅನ ದುಃಖ ಘಾಲಚ .
ಅವರು ದನಕರುಗಳನ್ನು ಮತ್ತು ದನಗಳನ್ನು ಬಂಧಿಸಿದರು .|ವು ಗಾವಡಿ ಚರಾವಾಳೆನುನ ಅನ ಗಾವಡಿನುನ ಭಾಂದಲಿದೋ .|ಓ ಜಾನವರೆವನುನ್ ಅನ್ ಜಾನ್ವರೆವನುನ್ ಪಕಡೇಚ .
ಯುವಜನರಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆ ಇನ್ನೂ ವ್ಯಾಪಕವಾಗಿದೆ .|ಅಪೋಷ್ಠಿಕತೆ ಯುವ ಲೋಗುಮ್ ಅಬ್ ಭೀ ಫೆಲರೋಚ .|ಯುವನೇಮ ಅಪೋಷ್ಠಿಕತೆ ಚ .
ನೀವು ದಣಿದಿದ್ದೀರಿ, ಮತ್ತು ನಾನು ಕೂಡ .|ತು ಮನ್ ಮಾಲಮ್ ಛ ಜೋಣ ಸೆತ್ತಿ ಮಾಂದೊ ಮಜಾಕಿಯಾ ಮಾಣಸ್ ಚಿ .|ತೋನ್ ಸುಸ್ತ್ ವೇಗೋತೊ ಅನ ಮ ಬಿ .
ಈ ಪ್ರಕರಣದಲ್ಲಿ ಪೊಲೀಸರು ಹನ್ನೊಂದು ಮಂದಿಯನ್ನು ಬಂಧಿಸಿದ್ದರು .|ಈ ಕೆಸೆಮ್ ಪೊಲೀಸನೊ ಗ್ಯಾರಹ್ ಮಾಣಸೇನ ಪಕಡಮಲೆತೆ .|ಎ ಕೆಸೆಮ ಪೊಲೀಸ್ ಅಗ್ಯಾರಹ್ ಮಾಣಸೇನ ಪಕಡಮಲೆತೆ .
ಔಷಧಿಗಳು ತೂಕ ಇಳಿಸಿಕೊಳ್ಳಲು ಸಹಾಯ ಮಾಡಬಹುದೇ ?|ಔಷದೋ ತುಕಾ ವತಾರೇನ್ ಮದತ್ ಕರಚ ಕಾಯಿ ಛೆಯೀ ಕೋ ?|ಔಷದ್ ಓ ತುಕಾ ಕಡ್ಮಿ ಕರೆನ್ ಮದತ್ ಕರ್ಸಕಾಚಾ ಕಾ೦ಯೀ ?
ನಾನು ಚೆನ್ನಾಗಿದ್ದೇನೆ, ಆದರೆ ನನಗೆ ತುಂಬಾ ಬಲವಿಲ್ಲ .|ಮ ಠೀಕ್ ಚು ಪಣ ಮ ಬಲಶಾಲಿ ಚು ಕರನ್ ಅನಸಾಯೆನಿ .|ಮ ಠೀಕ್ ಚು ಪಣ ಮನ್ ಘಣ್ ಘಟ್ ಛೆನಿ .
ಆಕೆಯ ಕ್ಷಮೆ ಯಾಚಿಸಲು ಬಂದಿದ್ದೇನೆ ಎಂದು ಉತ್ತರಿಸಿದರು .|ವು ವೊನ ತೋನ ಕ್ಷಮಾ ಮಾಂಗೇನ ಆಯೋಚು ಕೇನ ಕೆ .|ವು ವೋರ ಕ್ಷಮಾ ಮಾಂಗೆನ್ ಆಯೋಚು ಕೇನ ಕೆ .
ಎಲ್ಲ ಕೊಂಬೆಗಳನ್ನು ಸಂಗ್ರಹಿಸಿ , ಎಲ್ಲವನ್ನೂ ಒಟ್ಟಿಗೆ ಕಟ್ಟು .|ಸೇ ಟೊಂಗ್ಯ ವನುನ ಭೇಳನ ಭಾಂದ .|ಸೇಜ್ ಟೊಂಗ್ಯನುನ್ ಗೋಳಾಕರನ ಸೇಜ ಭಳನ್ ಭಾಂದ .
ಯುವಕ ಕೆಟ್ಟದ್ದಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದಾನೆ ಎಂದು ನಾನು ಹೆದರುತ್ತೇನೆ .|ಛೋರಾ ಕಾ೦ಯೀತೊಯೀ ತಪ್ಪ್ ಕರಚಕರನ್ ಹಮ್ ಚಮಕಾಚಾ .|ಯುವಕ ಮಾ೦ದೋ ಜಾರೊಚ್ ಕರನ್ ಮನ್ ಚಮಕಣಿ ಲಾಗಚ .
ಬಹುಶಃ ನಾವು ಮುಂದಿನ ತಿಂಗಳು ಶಿಮ್ಲಾಗೆ ಹೋಗುತ್ತೇವೆ .|ಬಹುಶಃ ಹಮ್ ಆಂಗೇರ್ ಮೀನಾ ಶಿಮ್ಲಾ ಜಾಮಾಚಾ .|ಬಹುಶಃ ಹಮ್ ಆಂಗೇರ್ ಮೀನಾ ಶಿಮ್ಲಾ ಜಾಮಾಚಾ .
ಹುಲಿ ನರಿಯ ಗುಹೆಗೆ ವಿಚಾರಣೆಗೆ ಬಂದಿತು .|ಬಾಘ್ ವಿಚಾರಣೆ ಕರೇನ ಲೋಮಡಿರ ಗುಫಾಮ ಆಯೋ .|ಬಾಘ್ ಲೋಮಡಿರ ಗುಫಾಮ ಆಯೋ .
ಇಡೀ ನಗರದ ನೈರ್ಮಲ್ಯೀಕರಣ ಕಾರ್ಯ ನಡೆಯುತ್ತಿದೆ .|ಪೂರಾ ನಗರೇರ್ ನೈರ್ಮಲೀಕರಣ ಕಾಮ್ ಚಾಲರೋಚ .|ಸಾರಿ ಗಾಮೇರ್ ಸ್ವಚ್ಛ ಕರೆರ್ ಕಾಮ್ ಚಾಲ್ರಿಚ .
ಓಗ್ರೆ ಈ ವರ್ಗದ ಕಥೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳುತ್ತಾರೆ .|ರಾಕ್ಷಸ ಏ ವರ್ಗೆರ ಸಾಕಿನುನ ಸೇನ ಕಚ .|ರಾಕ್ಷಸ ಏ ವರ್ಗೆರ ಸಾಕಿನ ಸೇನ ಕಚ .
ಅವರು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಳ್ಳಲು ಯಾವುದೇ ಕಾರಣವಿರಲಿಲ್ಲ .|ಉ ಆತ್ಮಹತ್ಯೆ ಕರೆನ್ ಕಾಯಿ ಭೀ ಕಾರಣ್ ವೇತ್ತಿ ಕೋನಿ .|ಓ ಆತ್ಮಹತ್ಯೆ ಕರೆನ್ ಕುಣಶಿ ಕಾರಣ್ ಹುಯಿಕೊಂತಿ .
ತನ್ನ ದುರ್ವರ್ತನೆಗಾಗಿ ಕ್ಷಮೆ ಯಾಚಿಸಬೇಕು .|ವು ಹರಕೆವಡಿ ಕಿದೋಜೆರ್ ವಾಸ ಕ್ಷಮಾ ಮಾಂಗಣು .|ಓರ್ ದುರ್ವರ್ತನೆ ಕರೆನ್ ಕ್ಷಮಾ ಮಾಂಗಣು .
ಸ್ವತಃ ಅಸಂಖ್ಯಾತ ಬಯಕೆಗಳ ಸಮೂಹವಾಗಿರುವುದರಿಂದ ಅವುಗಳನ್ನು ಪೂರೈಸಲು ಮಂತ್ರಗಳು ಆದರೆ ಈ ಮಧ್ಯ ಸಾಗರದಲ್ಲಿ ಉಳಿದಿವೆ .|ಸ್ವತಃ ಮಲಕೇರ ಆಸಾರ ಸಮೂಹ ಛ ಜನಾ ವೂನುನ್ ಪೂರಾ ಕರೆರ್ ಮಂತ್ರನೋ ಪಣ ಏರ್ ನಡು ಸಾಗರೇಮ ರೇಗೆಚ .|ಸ್ವತೆರ್ ವಾಸ ಸಂಖ್ಯಾತ ಚಾವಜೇತಿ ವೂನುನ ಈ ಪೂರೈಸೆರ್ ವಾಸ ಚ .
ದನಗಳ ಮೇಲಿನ ಅವರ ಆಸಕ್ತಿಯನ್ನು ಗಮನಿಸಿ ಹಿಂದಿನ ನಿಜಾಮರ ಸರ್ಕಾರವು ಅದೇ ಕಲ್ಯಾಣ ಯೋಜನೆಗಳನ್ನು ಜಾರಿಗೆ ತಂದಿತು .|ಜಾನ್ವರೇನುಮ ವೂನೂರ್ ರುಚಿ ದೇಕನ ನಿಜಾಮ ಸರಕಾರ ಸಮಾನ ಕಲ್ಯಾಣಕಾರಿ ಯೋಜನಾ ಶುರು ಕಿದೇತೆ .|ಜಾನ್ವರೆರ್ ಉಪ್ಪರೇರ್ ಆತರಿ ದೇಕೋ ಅನ ನಿಜಾಮ ಸರಕಾರಣ ಸರಕಾರ ಲಾಯೇ .
ನೇರವಾದ ಮತ್ತು ಗುಂಗುರು ಕೂದಲು ಇಪ್ಪತ್ತಮೂರು ವ್ಯಕ್ತಿಗಳು ಮಧ್ಯಮ ಮೂಗಿನ ಕುರಿತಾದ ಖಿನ್ನತೆಯನ್ನು ಹೊಂದಿದ್ದರು .|ಸೀದಾ ಅನ ಘುನ್ಗರ ಲಟ್ಟಾ ತೇಯಿಸ್ ಮಾಣಸೇರ ನಾಕ ಮಧ್ಯಮ ಖಿನ್ನತೆ ವೇತ್ತಿ .|ನೇದಾ ಅನ ಗುಂಪನೋ ಲಟ್ಟಾರ ಮಂದುರ ಬಗ್ಗೆ ತೀನ್ ಚಿಸ್ ಮಾಣಸ್ ವೆತ್ತೆ .
ಬೂತ್ ಅಡಿಯಲ್ಲಿ, ಒಂದು ಚದರ ಭಾಗವನ್ನು ತೆರವುಗೊಳಿಸಲಾಯಿತು ಮತ್ತು ಗೋವಿನ ಸಾಗಣೆಯಿಂದ ಸಾರಿಸಲಾಯಿತು .|ಬೂತೆರ್ ಹೆಟ್ ಏಕ್ ಚೌಕ ಭಾಗ ಸ್ವಚ್ಛ್ ಕರನ ಗೋಬರೇತಿ ಲಿಪೆ .|ಬೂತ್ ವಿಡಿಯೋ ಮಾಯಿ ಏಕ್ ಚಪ್ಪರೆರ್ ಭಾಗೇಮ ಸಾಠ ಭಾಗ ಕಿದೆ ಅನ ಗೋಬರ್ ಘಾಲೇತೆ .
ಹಲ್ಲುನೋವು, ಕೆಮ್ಮು, ಹೊಟ್ಟೆ ನೋವು ಇವುಗಳಿಗೆ ಸಾಮಾನ್ಯವಾಗಿ ಗಿಡಮೂಲಿಕೆ ಚಿಕಿತ್ಸೆ ನೀಡಲಾಗುತ್ತಿತ್ತು .|ದಾಂತ್ ದುಕಜೇನ, ಖಾಸಿ ಅನ ಪೇಟೆಮ್ ದುಕಜೇನ ಗಿಡಮೂಲಿಕೆತಿ ಇಲಾಜ್ ಕರಚ .|ದಾಂತ್ ವೋರ ದುಕೆರೊ, ಮುಟ್ಟೆರ ವಾಸ ಘಣ ದುಖೀಲಿಕಿತ್ಸೆ ದಚ .
ಬಾಹ್ಯ ಬಳಕೆಗೆ ಉದ್ದೇಶಿಸಲಾದ ಈ ಶೀತ ಮುಲಾಮುಗಳನ್ನು ಕೆಲವೊಮ್ಮೆ ಬೀಟಲ್ ಎಲೆಗಳೊಂದಿಗೆ ನುಂಗಲಾಗುತ್ತದೆ .|ಭಾರ್ ಲಗಾಡೆರ್ ವಾಸ್ ಛ ಜೋಣ ಯೇ ಶೀಳ ಬಾಮ್ ಏಕ್ ಏಕ್ ವಣಾ ಪಾನೇರ್ ಜೋಡಿ ಖಾವಚ .|ಭಾರ್ ಲಗಾಡೆರ್ ವಾಸ್ ಛ ಜೋಣ ಯೇ ಶೀಳ ಬಾಮ್ ಏಕ್ ಏಕ್ ವಣಾ ಪಾನ್ ಸಪಾರಿರ್ ಜೋಡಿ ಖಾವಚ .
ಜಾನಪದ ಕಥೆಗಳನ್ನು ಸ್ಟಿತ್ ಥಾಮ್ಸನ್ ಮಾದರಿಯ ಮಾದರಿಯ ಪ್ರಕಾರ ವರ್ಗೀಕರಿಸಲಾಗಿದೆ .|ಜಾನಪದ ಸಾಕಿನುನ ಸ್ಟಿತ್ ಥಾಮ್ಸನ್ ರ ಟೈಪ್ ಇಂಡೆಕ್ಸ್ ಮೊಡೇಲೆರ ನಾಯಿ ವರ್ಗಿಕೃತ ಕರಮಲೆಚ .|ಜಾನಪದ ಸಾಕಿನುನ ಸ್ಟಿತ್ ಸಮ್ಸನೇರ ಮಾದನೇರ ಪ್ರಕಾರ ವರ್ಗಿಕೃತ ಕರಮಲೆಚ .
ಇದು ಗ್ರಾಮೀಣ ವಾತಾವರಣದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ನ್ಯಾಯವನ್ನು ಪೂರೈಸುವ ಪ್ರಾಚೀನ ವ್ಯವಸ್ಥೆಯಾಗಿದೆ .|ಈ ಗ್ರಾಮೀಣ ವಾತಾವರಣೆಮ ನ್ಯಾಯ ದರಾಯೆರ ವ್ಯವಸ್ಥೆ ಚ .|ಈ ಹಳ್ಳಿರ ವಾತಾವರಣೆಮ ನ್ಯಾಯ ದ ಜೋಣ ವ್ಯವಸ್ಥೆ ಚ .
ಬುಡಕಟ್ಟು ಸಮುದಾಯವು ಒಟ್ಟು ಮಲೇರಿಯಾ ಪ್ರಕರಣಗಳಲ್ಲಿ ಇಪ್ಪತ್ತೈದು ಪ್ರತಿಶತದಷ್ಟು ಕೊಡುಗೆ ನೀಡುತ್ತದೆ .|ಸೇಜ್ ಮಲೇರಿಯಾ ಕೆಸೆನುಮ ಬುಡಕಟ್ಟು ಸಮುದಾಯೆವಾಳೆರ್ ಪಚ್ಚಿಸ್ ಪರಸೆಂಟ್ ರಚ .|ಬುಡಕಟ್ಟು ಸಮುದಾಯೆವಾಳ್ ಮಲಾರಿಯಾ ಕೆಸೆಮಾಯಿ ಪಚ್ಚಿಸ್ ಕೊಡುಗೆ ದಚ .
ಭಾರತ ಬ್ಯಾಡ್ಮಿಂಟನ್ ಮಿಶ್ರ ತಂಡ ಚಿನ್ನದ ಪದಕವನ್ನು ಮುಡಿಗೇರಿಸಿಕೊಂಡಿತು .|ಭಾರತೇರ್ ಬಡಮಂಟೈನ್ ತಂಡ ಸೋನೇರ್ ಪದಕ ಗೆದ್ದಿ ಛ .|ಭಾರತ್ ಬ್ಯಾಡ್ಮಿಂಟನ್ ತಂಡ ಸೋನೇರ ಪದಕ ಕಿದೆ .
